evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
22 1.8142235123
44 1.9747235387
116 2.0525451560
179 2.1663778163
206 2.3992322457
319 2.7352297593
506 2.8344671202
543 2.8868360277
722 3.0562347188
915 3.4626038781
1222 3.7091988131
1423 4.5787545788
5000 1.6778523490
evaluations raw_y
1 0.9520182788
3 1.2100677638
5 1.2291052114
7 1.4318442153
9 2.0525451560
170 2.1079258010
226 2.1968365554
310 2.5987525988
483 2.7352297593
556 2.9411764706
1229 2.9976019185
1355 3.0562347188
1398 3.3156498674
1716 3.4626038781
1916 3.6231884058
2635 3.7993920973
3202 4.5787545788
3267 5.0200803213
3637 5.3648068670
5000 3.1806615776
evaluations raw_y
1 1.4723203769
22 1.5451174289
23 1.7730496454
63 1.9260400616
102 2.1968365554
164 2.2935779817
268 2.4752475248
323 2.5562372188
342 2.6881720430
439 2.8868360277
679 3.0562347188
756 3.1172069825
959 3.2467532468
1162 3.3156498674
1561 3.3875338753
1694 3.7993920973
2281 3.9936102236
5000 2.0259319287
evaluations raw_y
1 1.6778523490
3 1.9025875190
4 1.9747235387
67 2.0525451560
134 2.1663778163
274 2.3629489603
373 2.3992322457
677 2.5987525988
746 2.6881720430
1029 2.7839643653
1126 3.0562347188
1441 3.1806615776
1628 3.2467532468
1944 3.3156498674
2173 3.4626038781
2684 3.8940809969
3446 4.5787545788
5000 1.3227513228
evaluations raw_y
1 1.6425755585
9 1.8142235123
16 1.9025875190
36 2.0000000000
42 2.1968365554
90 2.7352297593
396 2.8868360277
776 3.1172069825
966 3.1806615776
1107 3.5410764873
1358 4.4483985765
2070 4.5787545788
5000 3.3875338753
evaluations raw_y
1 0.8922198430
2 1.5923566879
67 1.8796992481
80 2.0000000000
104 2.1367521368
208 2.2603978300
216 2.4752475248
280 2.5987525988
487 2.7839643653
539 2.9411764706
766 3.3156498674
1148 4.0983606557
5000 1.5762925599
evaluations raw_y
1 1.2794268168
3 1.6778523490
19 2.2603978300
274 2.2935779817
389 2.8344671202
661 3.0562347188
662 3.5410764873
743 3.7091988131
864 3.9936102236
889 4.0983606557
1154 4.2087542088
5000 2.8868360277
evaluations raw_y
1 0.7543753772
2 1.6425755585
4 1.6600265604
31 2.4366471735
229 2.5562372188
513 2.6881720430
534 2.9411764706
785 3.0562347188
813 3.3875338753
1056 3.4626038781
5000 1.4188422247
evaluations raw_y
1 0.8486082824
2 1.4585764294
6 1.4723203769
7 1.6600265604
8 1.6778523490
23 1.9500780031
38 2.0000000000
136 2.1367521368
150 2.2935779817
170 2.3277467412
198 2.4752475248
290 2.5150905433
306 2.7352297593
532 2.8868360277
804 3.3156498674
1126 4.2087542088
5000 2.9976019185
evaluations raw_y
1 0.9637625289
4 1.1312217195
6 1.1394712853
7 1.7146776406
49 1.8355359765
55 2.0259319287
69 2.1079258010
86 2.3629489603
238 2.3992322457
296 2.5987525988
370 2.7352297593
549 2.9411764706
623 2.9976019185
988 3.3875338753
1178 3.6231884058
1649 4.0983606557
5000 1.8355359765
