evaluations raw_y
1 28.0000000000
6 26.0000000000
8 22.0000000000
11 8.0916114089
12 5.9956497435
15 5.1047989364
50000 87.4421485845
evaluations raw_y
1 15.0000000000
7 14.0000000000
13 11.2223124690
16 7.2874951368
17 5.0543640143
50000 47.9197916395
evaluations raw_y
1 37.0000000000
4 7.0000000000
19 6.9624488851
27 6.8915720903
36 5.8329392367
50 5.4109762006
67 5.2218362992
50000 45.2284396520
evaluations raw_y
1 34.0000000000
2 33.0000000000
5 28.0000000000
11 6.8030689959
12 6.2659500679
14 5.9600885086
15 5.6327500769
43 5.0758222613
50000 54.8506457327
evaluations raw_y
1 15.0000000000
3 14.0000000000
5 12.0000000000
11 6.6026161003
13 5.8993743102
14 5.6592473278
20 5.0454855890
87 5.0154889552
50000 110.1470121476
evaluations raw_y
1 38.0000000000
2 20.0000000000
9 13.0000000000
11 8.2065513056
18 7.5380479634
20 5.4179903475
43 5.0794718617
91 5.0674056841
50000 59.9557018260
evaluations raw_y
1 46.0000000000
2 10.0000000000
11 6.9347606641
15 5.5282282266
17 5.2778357382
50000 36.5350768710
evaluations raw_y
1 35.0000000000
3 32.0000000000
7 27.0000000000
11 16.0191238747
16 11.3399824389
21 9.9180160629
22 6.8827376156
38 6.5592428871
42 5.9504839537
76 5.7100933632
107 5.5684633711
50000 51.8945533592
evaluations raw_y
1 11.0000000000
8 10.0000000000
16 9.5305795634
17 5.8733603529
34 5.7664995087
92 5.5320628650
50000 38.4999748314
evaluations raw_y
1 46.0000000000
2 33.0000000000
4 27.0000000000
5 10.0000000000
11 7.8519362085
21 7.2930891831
22 6.3387779336
36 6.3351756158
47 6.1688781086
52 5.7404391091
68 5.1551602517
91 5.1538826697
50000 15.1087247859
evaluations raw_y
1 18.0000000000
3 14.0000000000
13 6.5400493380
34 5.0923350498
55 5.0436689123
50000 68.8603758536
evaluations raw_y
1 52.0000000000
2 49.0000000000
3 46.0000000000
4 34.0000000000
6 31.0000000000
7 24.0000000000
11 16.5795243790
14 10.9745048830
16 10.6395254130
17 9.0882916692
23 6.9576705270
36 6.0984052866
69 5.1570438314
50000 21.5457409027
evaluations raw_y
1 58.0000000000
3 35.0000000000
9 11.0000000000
11 8.7182310218
17 8.4439773205
22 6.3130487261
29 5.6753707030
70 5.6529087177
50000 47.6189228131
evaluations raw_y
1 37.0000000000
3 7.0000000000
29 6.3153147538
64 5.3095120189
50000 22.2345192147
evaluations raw_y
1 45.0000000000
2 42.0000000000
6 40.0000000000
7 34.0000000000
8 31.0000000000
10 19.0000000000
11 11.6213255085
12 8.5758143577
16 5.9791513004
45 5.4155867349
104 5.1925634098
50000 77.5780485775
evaluations raw_y
1 61.0000000000
2 18.0000000000
11 9.3086851392
16 5.8744582309
42 5.8169812454
46 5.3868373546
59 5.2141042408
79 5.1992691355
50000 41.6988747918
evaluations raw_y
1 42.0000000000
3 22.0000000000
10 13.0000000000
11 7.7670167313
13 5.3641103627
50000 16.8436700723
evaluations raw_y
1 77.0000000000
2 30.0000000000
6 6.0000000000
21 5.1372422797
65 5.0686191336
50000 34.3293180022
evaluations raw_y
1 52.0000000000
4 43.0000000000
5 36.0000000000
6 19.0000000000
11 5.1389540042
100 5.0802238075
50000 70.5805633861
evaluations raw_y
1 16.0000000000
12 11.2284502859
13 10.0379413612
14 8.3921128687
16 7.2833360389
20 5.1184474352
51 5.0320224462
50000 45.6620588410
