evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
56 1.9500780031
75 2.1367521368
186 2.2281639929
276 2.3629489603
294 2.5150905433
423 2.8868360277
1178 2.9976019185
1203 3.1172069825
1526 3.3875338753
1784 3.4626038781
2362 3.5410764873
2729 3.7993920973
5010 2.2935779817
evaluations raw_y
1 1.3455328310
3 1.4585764294
11 1.4723203769
13 1.6960651289
40 1.7730496454
120 1.8142235123
129 2.1663778163
431 2.2281639929
444 2.4752475248
579 2.5150905433
619 2.7352297593
743 2.8868360277
920 3.1806615776
1150 3.3156498674
1862 3.5410764873
2154 3.9936102236
3956 4.3252595156
5010 1.7730496454
evaluations raw_y
1 1.2291052114
3 1.3572204126
14 2.0259319287
26 2.3992322457
253 2.4366471735
487 2.8344671202
522 3.6231884058
1156 3.7993920973
5010 2.4366471735
evaluations raw_y
1 0.8048937540
3 1.1230907457
5 1.5006002401
8 1.5923566879
25 1.6425755585
52 1.9747235387
77 2.2281639929
139 2.3992322457
197 2.7839643653
707 2.9411764706
1201 2.9976019185
1599 3.0562347188
2043 3.2467532468
2107 3.3875338753
5010 2.9411764706
evaluations raw_y
1 0.7886435331
2 0.9944311854
5 1.0477787091
6 1.7730496454
7 2.0798668885
51 2.5562372188
273 2.7352297593
454 2.7839643653
497 2.8344671202
541 3.2467532468
1016 3.5410764873
1241 3.8940809969
3652 4.3252595156
3705 5.0200803213
5010 3.9936102236
evaluations raw_y
1 1.2291052114
9 1.5006002401
37 1.6960651289
96 1.8573551263
100 1.9747235387
133 2.0259319287
146 2.3629489603
611 2.8344671202
1458 3.1172069825
1751 3.1806615776
3001 3.3156498674
4427 3.3875338753
4549 3.4626038781
4799 3.6231884058
5010 2.1367521368
evaluations raw_y
1 1.1394712853
2 1.1825922422
4 1.6425755585
17 1.6960651289
25 2.0259319287
207 2.0798668885
237 2.1663778163
335 2.4752475248
673 2.7352297593
1457 2.7839643653
2432 2.8868360277
2479 2.9411764706
2879 3.2467532468
3063 3.3156498674
3605 3.3875338753
3906 4.0983606557
5010 1.8796992481
evaluations raw_y
1 1.4318442153
4 2.0798668885
311 2.1367521368
443 2.1663778163
527 2.4752475248
683 2.5987525988
898 2.6427061311
979 2.9976019185
1106 3.1172069825
1433 3.2467532468
1614 3.6231884058
2176 3.7993920973
2448 4.2087542088
5010 4.0983606557
evaluations raw_y
1 1.2291052114
3 1.7337031900
6 1.7531556802
12 1.9025875190
18 1.9747235387
97 2.0798668885
157 2.3992322457
431 2.4366471735
438 2.6881720430
463 2.8344671202
572 3.0562347188
1228 3.1806615776
1309 3.2467532468
1511 3.4626038781
1995 3.7091988131
3113 3.9936102236
3487 4.2087542088
5010 1.1230907457
evaluations raw_y
1 0.7692307692
2 1.2195121951
3 1.3935340022
4 1.6600265604
42 1.8142235123
99 2.0000000000
122 2.1079258010
139 2.3629489603
269 2.5150905433
546 2.9976019185
716 3.3875338753
1121 4.2087542088
5010 2.2281639929
