evaluations raw_y
1 -31968.0000000000
3 -31961.0000000000
4 -31751.0000000000
18 -31744.0000000000
32 -31499.0000000000
179 -31478.0000000000
186 -31023.0000000000
192 -30609.0000000000
202 -28524.0000000000
378 -26431.0000000000
488 -26249.0000000000
508 -25960.0000000000
617 -25654.0000000000
686 -25633.0000000000
770 -24051.0000000000
882 -23987.0000000000
908 -23798.0000000000
934 -23384.0000000000
962 -21222.0000000000
1219 -21131.0000000000
1269 -21096.0000000000
1304 -20766.0000000000
1307 -20690.0000000000
1328 -19801.0000000000
1378 -19687.0000000000
1503 -19486.0000000000
1560 -19050.0000000000
1596 -19045.0000000000
1637 -18980.0000000000
1727 -18771.0000000000
1801 -18757.0000000000
1843 -17421.0000000000
1967 -15991.0000000000
2129 -15248.0000000000
2304 -15066.0000000000
2412 -14986.0000000000
2419 -14934.0000000000
2536 -14780.0000000000
2551 -14703.0000000000
2555 -14287.0000000000
2562 -13835.0000000000
2717 -13779.0000000000
2745 -12491.0000000000
2939 -11586.0000000000
3016 -10171.0000000000
3231 -10093.0000000000
3350 -9092.0000000000
3398 -7998.0000000000
3458 -7956.0000000000
3573 -7787.0000000000
3602 -7465.0000000000
3680 -6937.0000000000
3802 -6930.0000000000
3911 -6308.0000000000
4078 -6149.0000000000
4079 -5501.0000000000
4217 -5183.0000000000
4291 -4779.0000000000
4359 -4680.0000000000
4398 -4151.0000000000
4512 -4014.0000000000
4599 -3731.0000000000
4705 -3724.0000000000
4769 -3170.0000000000
4816 -3133.0000000000
4820 -2860.0000000000
4865 -2491.0000000000
4957 -2428.0000000000
5100 -3661.0000000000
evaluations raw_y
1 -31576.0000000000
162 -31296.0000000000
180 -28278.0000000000
305 -27746.0000000000
318 -26002.0000000000
624 -24566.0000000000
632 -23761.0000000000
751 -22346.0000000000
1034 -21663.0000000000
1085 -21535.0000000000
1094 -20368.0000000000
1270 -19821.0000000000
1292 -18265.0000000000
1377 -18244.0000000000
1512 -15806.0000000000
1791 -15750.0000000000
1848 -15687.0000000000
1935 -15619.0000000000
2000 -14807.0000000000
2012 -14410.0000000000
2031 -13980.0000000000
2192 -13812.0000000000
2261 -13443.0000000000
2305 -12865.0000000000
2339 -12760.0000000000
2376 -12655.0000000000
2394 -12412.0000000000
2431 -12337.0000000000
2510 -10910.0000000000
2592 -10588.0000000000
2609 -10420.0000000000
2685 -9388.0000000000
2824 -9020.0000000000
2838 -8512.0000000000
2906 -8456.0000000000
3013 -7486.0000000000
3140 -7214.0000000000
3151 -6928.0000000000
3179 -6591.0000000000
3251 -5877.0000000000
3311 -5050.0000000000
3614 -4839.0000000000
3643 -4794.0000000000
3757 -4449.0000000000
3791 -4352.0000000000
3891 -4171.0000000000
3904 -3963.0000000000
3929 -3221.0000000000
4107 -2821.0000000000
4288 -2801.0000000000
4427 -2611.0000000000
4451 -2481.0000000000
4512 -2372.0000000000
4631 -2172.0000000000
4783 -2125.0000000000
4810 -2001.0000000000
4811 -1445.0000000000
5100 -2364.0000000000
evaluations raw_y
1 -32003.0000000000
5 -31996.0000000000
6 -31989.0000000000
17 -31618.0000000000
89 -31548.0000000000
154 -31317.0000000000
156 -30603.0000000000
164 -29588.0000000000
168 -29559.0000000000
204 -29518.0000000000
208 -29343.0000000000
264 -28181.0000000000
286 -27803.0000000000
330 -26437.0000000000
587 -25675.0000000000
620 -23350.0000000000
844 -22370.0000000000
980 -21887.0000000000
1055 -21439.0000000000
1132 -21222.0000000000
1221 -21214.0000000000
1298 -21151.0000000000
1341 -21095.0000000000
1369 -20823.0000000000
1382 -19465.0000000000
1410 -18171.0000000000
1512 -17056.0000000000
1858 -17021.0000000000
1946 -16463.0000000000
1976 -15956.0000000000
1999 -15503.0000000000
2113 -14544.0000000000
2192 -13697.0000000000
2251 -12868.0000000000
2507 -12539.0000000000
2653 -11304.0000000000
2761 -10771.0000000000
2801 -10281.0000000000
2930 -10275.0000000000
2949 -10078.0000000000
2994 -9949.0000000000
3004 -9361.0000000000
3071 -9090.0000000000
3108 -8951.0000000000
3154 -8782.0000000000
3202 -7838.0000000000
3454 -6761.0000000000
3561 -6617.0000000000
3642 -6395.0000000000
3695 -5170.0000000000
3780 -5018.0000000000
3865 -4333.0000000000
3969 -4319.0000000000
4002 -4295.0000000000
4060 -4177.0000000000
4091 -3723.0000000000
4205 -3449.0000000000
4314 -3285.0000000000
4318 -2531.0000000000
4375 -2427.0000000000
4391 -2279.0000000000
4638 -2265.0000000000
4794 -1638.0000000000
4806 -1631.0000000000
5100 -2005.0000000000
evaluations raw_y
1 -31989.0000000000
3 -31947.0000000000
4 -31800.0000000000
6 -31681.0000000000
11 -31674.0000000000
17 -31611.0000000000
106 -31555.0000000000
158 -29580.0000000000
180 -28594.0000000000
301 -28559.0000000000
302 -27732.0000000000
352 -27369.0000000000
455 -26663.0000000000
506 -26500.0000000000
512 -26033.0000000000
558 -24457.0000000000
677 -24233.0000000000
761 -24030.0000000000
776 -23638.0000000000
902 -23400.0000000000
998 -22658.0000000000
1056 -20990.0000000000
1266 -20104.0000000000
1294 -19620.0000000000
1414 -19248.0000000000
1550 -16678.0000000000
1683 -16615.0000000000
1811 -15322.0000000000
1914 -14770.0000000000
2151 -14427.0000000000
2285 -12585.0000000000
2457 -12480.0000000000
2569 -12270.0000000000
2575 -10545.0000000000
2852 -9610.0000000000
3165 -9179.0000000000
3175 -8879.0000000000
3318 -8715.0000000000
3327 -7258.0000000000
3458 -7157.0000000000
