evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
138 2.3629489603
344 2.7352297593
2511 3.0562347188
5000 1.2794268168
evaluations raw_y
1 1.1649580615
5 1.6087516088
9 1.6254876463
15 1.6778523490
32 1.6960651289
57 1.7337031900
66 1.7531556802
85 1.8573551263
205 1.9747235387
346 2.0000000000
362 2.0798668885
404 2.1079258010
642 2.4752475248
981 2.5150905433
1835 2.7839643653
3943 2.8868360277
5000 1.2007684918
evaluations raw_y
1 0.8440243079
2 1.5006002401
7 1.6600265604
46 1.7531556802
98 1.9025875190
113 2.0259319287
210 2.2603978300
441 2.3629489603
535 2.5150905433
556 2.5562372188
1879 2.7352297593
2326 2.7839643653
3137 2.8868360277
4534 3.0562347188
5000 1.1825922422
evaluations raw_y
1 1.1394712853
5 1.3572204126
11 1.4060742407
16 1.6600265604
22 1.7146776406
55 2.0000000000
83 2.2935779817
389 2.8344671202
700 3.0562347188
4027 3.4626038781
5000 1.0548523207
evaluations raw_y
1 1.7337031900
10 1.8142235123
87 1.9025875190
123 1.9260400616
147 2.1079258010
203 2.1367521368
265 2.1663778163
956 2.3277467412
963 2.5150905433
1298 2.5562372188
1553 2.8344671202
1731 2.8868360277
1907 3.3156498674
5000 1.4723203769
evaluations raw_y
1 1.0620220901
3 1.2899896801
14 1.5006002401
15 1.5451174289
42 1.9260400616
191 2.1367521368
211 2.5150905433
2144 2.5562372188
2748 2.5987525988
3063 2.9411764706
5000 1.0548523207
evaluations raw_y
1 0.9130752374
2 1.2899896801
6 1.4188422247
15 1.6600265604
22 1.7337031900
43 2.1663778163
71 2.1968365554
347 2.2603978300
455 2.5562372188
1570 2.6881720430
3084 2.7839643653
5000 1.3455328310
evaluations raw_y
1 0.9697439876
3 1.6087516088
30 1.9025875190
95 2.0259319287
180 2.1079258010
183 2.2603978300
586 2.4366471735
897 2.4752475248
1312 3.3156498674
5000 2.9411764706
evaluations raw_y
1 0.9758001561
2 1.0692899914
4 1.3116474292
6 1.3572204126
12 1.8355359765
131 1.9025875190
144 2.1968365554
491 2.2281639929
529 2.4752475248
2524 2.5987525988
2719 2.7352297593
5000 1.5923566879
evaluations raw_y
1 1.1563367253
3 1.7934002869
15 1.9500780031
43 2.0798668885
339 2.1079258010
362 2.5562372188
1183 2.5987525988
1413 2.6427061311
2774 2.7352297593
3888 3.1806615776
5000 1.6778523490
