evaluations raw_y
1 1.3007284079
13 1.5605493134
35 2.0259319287
42 2.0798668885
74 2.2935779817
280 2.4366471735
773 2.6427061311
2008 2.6881720430
2178 2.9411764706
2251 3.0562347188
2896 3.5410764873
5000 1.0407993339
evaluations raw_y
1 1.5923566879
43 1.6778523490
62 2.0525451560
87 2.0798668885
186 2.3992322457
260 2.5150905433
320 2.6881720430
834 2.8868360277
884 3.1172069825
1925 3.1806615776
2190 3.3156498674
2275 3.5410764873
5000 1.8796992481
evaluations raw_y
1 0.6909894970
2 1.1649580615
4 1.2388503469
6 1.4863258026
11 2.2281639929
217 2.7352297593
606 2.7839643653
1234 3.4626038781
1285 3.6231884058
2931 4.4483985765
5000 1.7531556802
evaluations raw_y
1 0.7229612493
2 1.1737089202
5 2.4752475248
76 2.6427061311
173 2.9411764706
2565 3.1172069825
3166 3.6231884058
4936 4.3252595156
5000 1.2487512488
evaluations raw_y
1 1.1649580615
3 1.2588116818
4 1.2690355330
7 1.7730496454
38 1.8796992481
43 1.9747235387
112 2.2935779817
248 2.9976019185
1024 3.0562347188
1154 3.1806615776
1879 3.6231884058
4642 3.7091988131
5000 1.6778523490
evaluations raw_y
1 1.0072522160
2 1.5006002401
17 1.6778523490
33 2.0000000000
61 2.0259319287
124 2.2935779817
217 2.4366471735
231 2.4752475248
492 3.2467532468
1734 3.8940809969
5000 2.0525451560
evaluations raw_y
1 1.0766580534
2 1.1563367253
3 1.4188422247
7 1.6087516088
27 1.6425755585
57 1.9025875190
99 2.0798668885
127 2.2935779817
206 2.4366471735
209 2.6881720430
569 3.0562347188
700 3.4626038781
1336 3.5410764873
2554 4.3252595156
5000 1.4450867052
evaluations raw_y
1 1.0407993339
2 1.2388503469
4 1.5762925599
6 1.6254876463
7 1.7337031900
24 2.0525451560
42 2.4752475248
838 2.6427061311
1121 2.6881720430
1160 3.4626038781
1966 3.5410764873
3031 3.6231884058
4290 3.7091988131
5000 1.9747235387
evaluations raw_y
1 1.1825922422
4 1.4060742407
8 1.4188422247
13 1.8573551263
34 1.8796992481
57 2.0000000000
88 2.4752475248
540 2.9976019185
1186 3.0562347188
1870 3.6231884058
2908 3.7091988131
4022 4.0983606557
5000 0.9944311854
evaluations raw_y
1 1.1150758252
2 1.6425755585
19 2.0798668885
101 2.2281639929
157 2.3992322457
390 2.7352297593
410 2.7839643653
718 2.8868360277
2565 2.9411764706
2635 3.1806615776
3547 3.2467532468
4221 3.3156498674
4832 3.4626038781
5000 1.5762925599
