evaluations raw_y
1 40.7467121703
2 32.7430861428
4 25.7197574048
6 12.4960206941
12 9.2877191702
393 8.5154730583
420 7.4495000293
452 7.2171799070
50000 125.0000000000
evaluations raw_y
1 60.3200699837
2 22.3584066755
9 11.7645874454
13 2.0344845267
50000 125.0000000000
evaluations raw_y
1 22.6944320278
6 11.5664649240
7 7.6349159847
19 3.3498486257
334 2.8051876990
50000 125.0000000000
evaluations raw_y
1 42.1433147060
4 27.8947996540
6 16.0917212276
17 3.6207080443
30 3.5816638963
48 3.4695058158
50 3.0668782347
57 2.6408611755
65 2.4639549023
70 1.6742668727
220 1.4520406835
224 0.6582653289
226 0.0480219223
50000 125.0000000000
evaluations raw_y
1 74.3567718390
2 43.0467640407
3 31.7710328283
4 25.3999758938
5 23.9920471038
6 6.0718865907
9 3.6933298869
37 3.6351936803
86 2.8942528362
102 1.3158723476
31715 125.0000000000
