evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
685 2.3629489603
783 2.4366471735
1992 2.5562372188
2059 2.5987525988
2061 3.2467532468
5000 1.5151515152
evaluations raw_y
1 1.3340448239
2 1.5605493134
6 1.6254876463
7 2.1079258010
140 3.3156498674
4485 3.3875338753
5000 1.0477787091
evaluations raw_y
1 0.8440243079
2 1.2388503469
7 1.4723203769
18 1.6087516088
38 1.7730496454
109 2.0798668885
219 2.2281639929
465 2.3277467412
1122 2.4752475248
1683 2.5150905433
1965 2.5987525988
2026 2.7839643653
2844 2.8344671202
3550 2.9411764706
4597 3.0562347188
5000 1.1737089202
evaluations raw_y
1 1.4318442153
7 1.5151515152
14 1.5605493134
17 2.4366471735
517 2.6881720430
2669 2.8344671202
2889 3.3156498674
5000 1.0620220901
evaluations raw_y
1 0.7807620237
2 0.9025270758
5 1.0008006405
7 1.6425755585
15 1.6600265604
33 1.7531556802
83 2.7352297593
2263 3.0562347188
3208 3.2467532468
5000 1.7531556802
evaluations raw_y
1 0.9881422925
2 1.0841283608
3 1.5006002401
5 1.5605493134
9 1.6960651289
25 1.7146776406
43 1.7531556802
55 1.9260400616
279 1.9500780031
357 2.1367521368
367 2.6881720430
1407 2.9411764706
1816 3.1172069825
3651 3.3875338753
5000 1.0477787091
evaluations raw_y
1 0.9578544061
2 1.2291052114
3 1.2794268168
4 1.2899896801
9 1.3227513228
10 1.3691128149
13 1.4188422247
27 1.6254876463
48 2.0525451560
213 2.0798668885
289 2.1663778163
457 2.1968365554
788 2.3992322457
809 2.5150905433
1014 2.9411764706
1507 3.1806615776
2957 3.2467532468
5000 1.7934002869
evaluations raw_y
1 0.9077705156
3 1.4585764294
15 1.5451174289
16 1.9500780031
73 2.0525451560
171 2.1968365554
242 2.2281639929
459 2.2603978300
687 2.4752475248
1330 2.5150905433
1904 2.5987525988
2482 2.7352297593
2958 2.8344671202
3302 2.8868360277
5000 2.2935779817
evaluations raw_y
1 1.0692899914
4 1.3340448239
13 2.1968365554
22 2.2935779817
84 2.5987525988
162 3.2467532468
605 3.7091988131
4367 4.3252595156
5000 1.9747235387
evaluations raw_y
1 1.1312217195
3 1.1916110582
5 1.8355359765
40 2.0000000000
68 2.2281639929
151 2.5562372188
1015 2.6427061311
3108 2.7839643653
3801 2.8868360277
3904 2.9411764706
4995 3.0562347188
5000 2.0525451560
