evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
22 1.8142235123
101 2.3629489603
208 2.5150905433
431 2.5562372188
444 2.5987525988
476 2.9976019185
586 3.2467532468
625 3.6231884058
727 3.9936102236
5000 1.7531556802
evaluations raw_y
1 0.9520182788
3 1.2100677638
5 1.2291052114
7 1.4318442153
9 2.0525451560
72 2.1968365554
169 2.2603978300
225 2.3277467412
275 2.5562372188
323 2.6427061311
344 2.7352297593
528 3.5410764873
936 3.7993920973
1006 3.8940809969
1076 4.3252595156
3534 4.4483985765
5000 2.5562372188
evaluations raw_y
1 1.4723203769
22 1.5451174289
26 1.6600265604
33 1.8355359765
57 1.9260400616
85 1.9747235387
137 2.2935779817
223 2.3277467412
274 2.3629489603
286 2.7839643653
392 3.1172069825
446 3.3875338753
511 3.4626038781
580 3.5410764873
3084 3.7091988131
3329 3.7993920973
5000 2.8344671202
evaluations raw_y
1 1.6778523490
3 1.9025875190
4 1.9747235387
121 2.3992322457
183 2.4366471735
206 2.5987525988
218 2.6881720430
322 2.7352297593
350 2.7839643653
381 3.3156498674
536 3.4626038781
676 3.6231884058
706 4.0983606557
899 4.3252595156
5000 1.4863258026
evaluations raw_y
1 1.6425755585
9 1.8142235123
16 1.9025875190
42 2.0259319287
77 2.1079258010
92 2.1968365554
122 2.2603978300
154 2.3277467412
234 2.3629489603
247 2.3992322457
326 2.6427061311
372 2.7352297593
428 2.8344671202
444 3.1172069825
501 3.4626038781
514 3.5410764873
537 3.9936102236
569 4.4483985765
607 4.5787545788
754 4.8638132296
5000 4.8638132296
evaluations raw_y
1 0.8922198430
2 1.5923566879
26 1.8573551263
87 2.1079258010
100 2.1663778163
181 2.7839643653
350 2.8868360277
393 3.3156498674
1496 3.4626038781
3866 3.7091988131
5000 2.2281639929
evaluations raw_y
1 1.2794268168
3 1.6778523490
19 2.2603978300
244 2.3277467412
305 2.3992322457
373 2.5562372188
412 2.5987525988
415 2.7352297593
496 3.3156498674
599 4.2087542088
654 4.4483985765
5000 2.3629489603
evaluations raw_y
1 0.7543753772
2 1.6425755585
4 1.6600265604
23 1.9260400616
34 2.1367521368
84 2.3992322457
201 2.5150905433
215 2.6881720430
289 3.0562347188
403 3.2467532468
542 3.7091988131
2151 3.9936102236
2226 4.0983606557
5000 2.3629489603
evaluations raw_y
1 0.8486082824
2 1.4585764294
6 1.4723203769
7 1.6600265604
8 1.6778523490
23 2.1968365554
188 2.5562372188
330 2.5987525988
333 2.6881720430
351 2.7839643653
388 3.1172069825
667 3.3156498674
1111 3.5410764873
1124 3.9936102236
5000 3.5410764873
evaluations raw_y
1 0.9637625289
4 1.1312217195
6 1.1394712853
7 1.7146776406
50 1.8142235123
69 1.9025875190
91 1.9260400616
103 1.9500780031
133 2.0000000000
160 2.2603978300
186 2.2935779817
196 2.3992322457
248 2.7839643653
298 2.8868360277
404 2.9976019185
510 3.0562347188
1791 3.4626038781
2418 3.7091988131
5000 1.9025875190
