evaluations raw_y
1 -369.0000000000
2 -355.0000000000
4 -322.0000000000
6 -262.0000000000
20 -255.0000000000
105 -242.0000000000
113 -235.0000000000
117 -201.0000000000
232 -188.0000000000
278 -161.0000000000
287 -141.0000000000
298 -128.0000000000
436 -48.0000000000
663 -43.0000000000
704 -42.0000000000
741 -29.0000000000
876 -28.0000000000
983 -22.0000000000
1048 -9.0000000000
1295 -8.0000000000
1486 3.0000000000
2548 -108.0000000000
evaluations raw_y
1 -275.0000000000
22 -228.0000000000
74 -201.0000000000
209 -182.0000000000
300 -149.0000000000
387 -135.0000000000
397 -122.0000000000
443 -95.0000000000
534 -88.0000000000
558 -75.0000000000
629 -47.0000000000
659 -29.0000000000
798 -22.0000000000
817 -17.0000000000
927 -9.0000000000
1398 -3.0000000000
1974 -2.0000000000
2317 3.0000000000
2355 4.0000000000
2534 5.0000000000
2548 -3.0000000000
evaluations raw_y
1 -363.0000000000
3 -187.0000000000
40 -174.0000000000
97 -167.0000000000
110 -161.0000000000
112 -140.0000000000
200 -135.0000000000
218 -87.0000000000
411 -67.0000000000
453 -62.0000000000
521 -61.0000000000
568 -48.0000000000
612 -40.0000000000
614 -27.0000000000
643 -21.0000000000
818 -9.0000000000
873 -8.0000000000
910 -2.0000000000
1590 4.0000000000
2548 -9.0000000000
evaluations raw_y
1 -370.0000000000
3 -315.0000000000
8 -268.0000000000
23 -255.0000000000
34 -168.0000000000
241 -149.0000000000
311 -148.0000000000
362 -141.0000000000
486 -134.0000000000
498 -121.0000000000
515 -115.0000000000
604 -101.0000000000
654 -88.0000000000
704 -82.0000000000
707 -49.0000000000
737 -42.0000000000
889 -36.0000000000
905 -34.0000000000
985 -15.0000000000
1105 -10.0000000000
1352 -8.0000000000
1390 -4.0000000000
1588 3.0000000000
1883 4.0000000000
2548 -108.0000000000
evaluations raw_y
1 -396.0000000000
2 -302.0000000000
5 -161.0000000000
175 -134.0000000000
350 -107.0000000000
383 -101.0000000000
392 -94.0000000000
408 -81.0000000000
445 -68.0000000000
456 -61.0000000000
507 -55.0000000000
527 -48.0000000000
706 -34.0000000000
956 -15.0000000000
1069 -9.0000000000
1111 -3.0000000000
1576 4.0000000000
2548 -15.0000000000
evaluations raw_y
1 -417.0000000000
5 -389.0000000000
6 -335.0000000000
8 -322.0000000000
26 -188.0000000000
105 -155.0000000000
253 -148.0000000000
316 -147.0000000000
330 -141.0000000000
437 -134.0000000000
441 -121.0000000000
547 -94.0000000000
553 -75.0000000000
633 -74.0000000000
710 -54.0000000000
840 -47.0000000000
872 -28.0000000000
1186 -24.0000000000
1222 -23.0000000000
1262 -22.0000000000
1294 -15.0000000000
1410 -10.0000000000
1449 -9.0000000000
1812 4.0000000000
2548 -34.0000000000
evaluations raw_y
1 -416.0000000000
2 -295.0000000000
17 -289.0000000000
28 -228.0000000000
48 -216.0000000000
63 -154.0000000000
257 -134.0000000000
435 -121.0000000000
464 -88.0000000000
555 -67.0000000000
741 -47.0000000000
805 -41.0000000000
958 -28.0000000000
1058 -22.0000000000
1098 -14.0000000000
1146 -9.0000000000
1588 -8.0000000000
1908 -1.0000000000
2055 4.0000000000
2357 5.0000000000
2548 -62.0000000000
evaluations raw_y
1 -517.0000000000
2 -457.0000000000
3 -429.0000000000
4 -356.0000000000
6 -269.0000000000
54 -268.0000000000
78 -249.0000000000
146 -168.0000000000
307 -148.0000000000
383 -121.0000000000
391 -114.0000000000
562 -100.0000000000
687 -88.0000000000
821 -74.0000000000
881 -61.0000000000
937 -55.0000000000
970 -54.0000000000
998 -41.0000000000
1040 -16.0000000000
1316 -3.0000000000
1650 -2.0000000000
1694 4.0000000000
2548 -22.0000000000
evaluations raw_y
1 -497.0000000000
2 -423.0000000000
3 -322.0000000000
15 -228.0000000000
29 -221.0000000000
82 -208.0000000000
114 -181.0000000000
160 -168.0000000000
199 -167.0000000000
205 -114.0000000000
375 -95.0000000000
413 -82.0000000000
437 -75.0000000000
455 -69.0000000000
498 -62.0000000000
532 -61.0000000000
562 -55.0000000000
565 -35.0000000000
667 -22.0000000000
1013 -10.0000000000
1237 -8.0000000000
1239 -3.0000000000
1283 3.0000000000
1500 5.0000000000
2548 -62.0000000000
evaluations raw_y
1 -309.0000000000
3 -282.0000000000
17 -275.0000000000
58 -242.0000000000
77 -215.0000000000
80 -181.0000000000
159 -174.0000000000
285 -168.0000000000
310 -141.0000000000
351 -114.0000000000
372 -81.0000000000
406 -55.0000000000
644 -42.0000000000
714 -28.0000000000
1045 -3.0000000000
2151 3.0000000000
2548 -17.0000000000
evaluations raw_y
1 -571.0000000000
2 -564.0000000000
3 -329.0000000000
18 -288.0000000000
29 -281.0000000000
30 -229.0000000000
58 -134.0000000000
398 -68.0000000000
503 -61.0000000000
509 -48.0000000000
561 -23.0000000000
778 -16.0000000000
1004 -15.0000000000
1117 -9.0000000000
1194 -8.0000000000
1487 -3.0000000000
1693 2.0000000000
2548 -29.0000000000
evaluations raw_y
1 -416.0000000000
5 -309.0000000000
22 -214.0000000000
82 -187.0000000000
99 -181.0000000000
130 -147.0000000000
175 -94.0000000000
286 -81.0000000000
339 -61.0000000000
612 -48.0000000000
753 -36.0000000000
844 -22.0000000000
884 -10.0000000000
1045 -9.0000000000
1356 -3.0000000000
1585 -2.0000000000
1869 3.0000000000
2130 4.0000000000
2548 -88.0000000000
evaluations raw_y
1 -517.0000000000
2 -363.0000000000
4 -356.0000000000
12 -315.0000000000
13 -268.0000000000
17 -235.0000000000
46 -228.0000000000
83 -154.0000000000
204 -120.0000000000
370 -101.0000000000
397 -80.0000000000
482 -75.0000000000
498 -67.0000000000
572 -54.0000000000
605 -48.0000000000
703 -42.0000000000
854 -28.0000000000
886 -9.0000000000
1218 -3.0000000000
1868 -2.0000000000
2038 2.0000000000
2548 -23.0000000000
evaluations raw_y
1 -396.0000000000
3 -389.0000000000
4 -376.0000000000
10 -302.0000000000
56 -288.0000000000
64 -208.0000000000
162 -128.0000000000
179 -127.0000000000
197 -121.0000000000
230 -114.0000000000
274 -108.0000000000
350 -94.0000000000
384 -87.0000000000
471 -74.0000000000
491 -61.0000000000
543 -54.0000000000
565 -42.0000000000
618 -28.0000000000
978 -23.0000000000
1087 -10.0000000000
1370 -9.0000000000
1439 -3.0000000000
1893 3.0000000000
2330 4.0000000000
2548 -75.0000000000
evaluations raw_y
1 -423.0000000000
2 -389.0000000000
5 -222.0000000000
45 -215.0000000000
173 -194.0000000000
263 -174.0000000000
277 -162.0000000000
304 -149.0000000000
447 -81.0000000000
560 -75.0000000000
608 -35.0000000000
647 -3.0000000000
864 4.0000000000
2025 5.0000000000
2548 -43.0000000000
evaluations raw_y
1 -355.0000000000
3 -328.0000000000
8 -241.0000000000
43 -235.0000000000
87 -155.0000000000
125 -115.0000000000
227 -108.0000000000
272 -94.0000000000
311 -75.0000000000
367 -54.0000000000
532 -48.0000000000
579 -42.0000000000
627 -28.0000000000
934 -22.0000000000
965 -15.0000000000
1360 -4.0000000000
1381 -3.0000000000
1597 2.0000000000
1678 3.0000000000
2548 -36.0000000000
evaluations raw_y
1 -214.0000000000
33 -181.0000000000
67 -134.0000000000
190 -121.0000000000
300 -114.0000000000
342 -101.0000000000
352 -100.0000000000
385 -81.0000000000
511 -75.0000000000
515 -74.0000000000
523 -67.0000000000
563 -48.0000000000
626 -42.0000000000
689 -41.0000000000
760 -35.0000000000
800 -30.0000000000
844 -29.0000000000
893 -10.0000000000
1042 -8.0000000000
1168 3.0000000000
1504 4.0000000000
2548 -61.0000000000
evaluations raw_y
1 -450.0000000000
2 -376.0000000000
5 -370.0000000000
10 -349.0000000000
17 -302.0000000000
24 -261.0000000000
39 -248.0000000000
127 -235.0000000000
172 -215.0000000000
177 -201.0000000000
249 -175.0000000000
353 -160.0000000000
448 -155.0000000000
463 -128.0000000000
466 -116.0000000000
501 -108.0000000000
569 -95.0000000000
646 -82.0000000000
668 -68.0000000000
727 -61.0000000000
795 -49.0000000000
894 -42.0000000000
1179 -29.0000000000
1275 -23.0000000000
1286 -3.0000000000
1817 2.0000000000
2539 3.0000000000
2548 -49.0000000000
evaluations raw_y
1 -443.0000000000
3 -335.0000000000
20 -330.0000000000
31 -288.0000000000
103 -282.0000000000
118 -261.0000000000
129 -241.0000000000
178 -234.0000000000
205 -175.0000000000
313 -174.0000000000
375 -141.0000000000
408 -95.0000000000
504 -94.0000000000
542 -81.0000000000
575 -74.0000000000
586 -68.0000000000
604 -42.0000000000
705 -41.0000000000
1027 -35.0000000000
1077 -29.0000000000
1102 -17.0000000000
1148 -9.0000000000
1150 3.0000000000
1257 5.0000000000
2548 -88.0000000000
evaluations raw_y
1 -538.0000000000
2 -430.0000000000
3 -362.0000000000
4 -342.0000000000
11 -302.0000000000
24 -288.0000000000
28 -234.0000000000
33 -228.0000000000
95 -214.0000000000
117 -175.0000000000
189 -174.0000000000
204 -128.0000000000
278 -81.0000000000
345 -68.0000000000
443 -61.0000000000
504 -55.0000000000
587 -53.0000000000
590 -41.0000000000
789 -29.0000000000
834 -21.0000000000
932 -9.0000000000
1127 -2.0000000000
1798 5.0000000000
2548 -22.0000000000
