evaluations raw_y
1 1.3007284079
12 1.5605493134
14 1.8142235123
30 1.8796992481
68 2.0259319287
82 2.0525451560
127 2.4366471735
176 2.5150905433
195 2.5562372188
256 2.9411764706
303 3.1806615776
380 3.3156498674
1490 3.3875338753
1961 3.6231884058
2423 4.2087542088
2671 4.5787545788
5000 1.6960651289
evaluations raw_y
1 1.1563367253
5 1.2487512488
7 1.4188422247
12 1.4585764294
17 1.8355359765
67 1.9025875190
87 1.9747235387
148 2.0259319287
155 2.0798668885
177 2.2935779817
178 2.3629489603
238 2.4752475248
268 2.7839643653
337 2.8868360277
354 3.1172069825
383 3.1806615776
430 3.4626038781
516 4.0983606557
5000 1.7730496454
evaluations raw_y
1 1.0692899914
2 1.1737089202
3 2.1367521368
27 2.2935779817
35 2.3277467412
38 2.4752475248
326 2.8344671202
431 3.2467532468
667 3.3156498674
863 4.0983606557
5000 2.2935779817
evaluations raw_y
1 1.3935340022
18 1.4188422247
20 1.4863258026
21 1.5299877601
23 1.7934002869
67 1.8142235123
93 2.0259319287
138 2.1079258010
189 2.2281639929
232 2.3629489603
261 2.7352297593
422 2.8868360277
451 3.0562347188
488 3.1806615776
867 3.3156498674
1760 3.3875338753
2457 3.6231884058
2641 3.7993920973
2895 3.8940809969
5000 2.0798668885
evaluations raw_y
1 0.9462528388
3 1.2588116818
4 1.3116474292
9 1.5923566879
34 1.6960651289
47 1.8142235123
66 1.9747235387
90 2.0259319287
96 2.1079258010
120 2.1968365554
183 2.3277467412
207 2.3629489603
321 2.5987525988
432 2.6881720430
519 2.7352297593
592 2.8868360277
675 2.9976019185
1135 3.0562347188
1393 3.1172069825
1932 3.2467532468
2322 3.4626038781
2495 3.8940809969
2851 4.0983606557
5000 1.8142235123
evaluations raw_y
1 1.0407993339
4 1.0548523207
5 1.1071744907
8 1.2388503469
11 1.3227513228
13 1.8796992481
22 2.1663778163
107 2.1968365554
120 2.5562372188
155 2.6427061311
243 2.6881720430
288 3.1806615776
345 3.7993920973
818 4.0983606557
5000 1.3935340022
evaluations raw_y
1 1.4585764294
15 1.5299877601
21 2.3277467412
71 2.3629489603
162 2.3992322457
204 2.7839643653
273 3.1172069825
486 3.2467532468
721 3.7091988131
2092 3.7993920973
5000 1.8573551263
evaluations raw_y
1 0.9077705156
3 1.1394712853
8 1.1649580615
9 2.1663778163
43 2.3277467412
75 2.3629489603
98 2.5562372188
201 2.7352297593
229 2.9411764706
407 3.6231884058
5000 1.9025875190
evaluations raw_y
1 1.2588116818
4 1.3935340022
6 1.6778523490
11 1.7934002869
40 1.8355359765
45 1.8573551263
71 1.8796992481
77 2.0525451560
120 2.2281639929
126 2.2603978300
229 2.3277467412
380 2.3629489603
388 2.3992322457
397 2.5562372188
424 2.6881720430
510 2.7352297593
543 2.7839643653
582 3.0562347188
682 3.3156498674
802 3.5410764873
981 3.6231884058
1193 3.7993920973
1911 3.8940809969
1982 4.0983606557
2176 4.2087542088
5000 2.1968365554
evaluations raw_y
1 1.0993843448
2 1.1478420569
3 2.0000000000
23 2.1079258010
97 2.2603978300
134 2.4366471735
216 2.7352297593
500 2.8344671202
600 3.0562347188
739 3.2467532468
1457 3.3156498674
1978 3.4626038781
2112 3.6231884058
2246 3.7091988131
4804 3.7993920973
5000 1.5151515152
