evaluations raw_y
1 76.7627176368
2 35.5165984245
3 27.2336279357
6 20.4214661202
7 18.2382291351
10 13.0800572046
15 10.8970622604
25 6.0664553155
79 5.2331989752
134 4.3024457793
149 4.1605081650
551 3.7410975698
900 2.6066990586
50000 125.0000000000
evaluations raw_y
1 55.8357039964
3 39.5085651463
6 38.5240336958
7 17.3544234518
15 5.3286703312
36 4.9745983669
38 2.6642768825
50000 125.0000000000
evaluations raw_y
1 24.7019274388
2 18.5665691985
6 13.2007368271
7 1.6732480983
84 1.6258299767
180 1.1160330084
225 0.8227688884
229 0.6795541786
293 0.4224909208
50000 125.0000000000
evaluations raw_y
1 38.9867417251
3 27.6784613486
5 26.1511885552
6 18.2722967639
8 12.1150863736
9 10.7874310599
16 10.0792336709
18 3.3773053782
125 1.2359802455
128 0.6963407217
50000 125.0000000000
evaluations raw_y
1 23.6792154356
6 10.3830742093
8 4.8770368808
17 4.6041472791
21 1.8849868292
34 1.2981467580
79 1.1230347522
50000 125.0000000000
evaluations raw_y
1 7.0988550874
21 5.9883167793
25 3.3432797536
33 3.2811342252
36 1.9985773074
59 0.4500974652
146 0.3151091666
50000 125.0000000000
evaluations raw_y
1 62.5130720560
2 36.8537086097
5 26.7621535396
7 18.9177327809
14 12.4157150007
41 9.9688928311
139 7.1913109909
146 7.1740860060
169 6.2426704545
184 4.6259631767
194 2.7580521767
378 2.4374475770
50000 125.0000000000
evaluations raw_y
1 34.0471094156
3 26.1793995488
6 14.6206435563
16 13.9487414226
17 13.7706513981
22 13.0272727298
27 12.0840515885
28 10.7164394579
34 8.1321648176
74 6.8129190149
353 5.6439737181
50000 125.0000000000
evaluations raw_y
1 92.8603463464
2 40.1456400193
4 18.7551450176
7 11.3505180503
22 10.9630869527
31 10.1720070351
37 10.1411570564
38 8.7106045295
49 7.6131434217
150 5.8324059660
1060 2.1605763955
50000 125.0000000000
evaluations raw_y
1 34.4735623534
2 20.0873485850
8 4.1898111538
127 2.6878589110
617 1.0992783521
50000 125.0000000000
evaluations raw_y
1 39.8549752163
2 27.9887767783
4 22.8222727212
5 7.1634153158
8 6.1378985235
50 5.0748579504
99 1.8351960882
50000 125.0000000000
evaluations raw_y
1 73.1899674396
2 56.2724082724
3 46.4554979904
5 45.4287446642
6 9.9297247941
7 4.6975002474
28 4.5484829421
49 3.1444155749
60 2.8527609288
66 2.5532349128
73 1.3763023134
50000 125.0000000000
evaluations raw_y
1 14.9871464528
14 6.1264626632
91 3.8692246246
166 3.6059186476
186 2.2440921383
50000 125.0000000000
evaluations raw_y
1 39.8764553723
2 25.9677720759
4 25.5627211105
5 20.8432917493
6 10.3162978157
8 5.5400881668
11 0.6095529792
50000 125.0000000000
evaluations raw_y
1 25.8890238876
6 16.4394112892
9 12.0997735515
22 10.6624083929
27 8.9215613544
33 5.2129931305
37 2.1377729750
70 1.8960991804
168 1.1292207157
50000 125.0000000000
evaluations raw_y
1 75.9080071539
2 19.1969043469
7 8.4637298958
32 6.5298466282
39 4.0827442300
96 3.2214451052
168 2.6989085611
172 1.5898096338
365 1.4808349792
409 1.4042555509
1237 0.9901565275
50000 125.0000000000
evaluations raw_y
1 33.4718239888
4 31.0952445630
7 4.1442368430
13 0.7303145292
50000 125.0000000000
evaluations raw_y
1 40.1548781796
2 22.4666067559
5 22.0349652509
6 15.3140530622
8 9.6226934265
18 8.8010405899
25 8.2088736336
35 6.4999839933
111 6.4257805980
117 4.8705356719
170 4.8071321083
50000 125.0000000000
evaluations raw_y
1 19.7483114899
9 15.8271759596
10 7.9657277728
14 7.0863708793
17 6.4402390079
22 4.8611805757
47 4.7991220798
52 2.3302487925
50000 125.0000000000
evaluations raw_y
1 61.6376748016
2 17.0175075959
9 6.5527659169
19 5.8721806062
29 5.6835055304
33 5.4815756516
35 5.3392218381
46 4.8073580859
73 3.3392271956
244 3.2537481139
690 2.7147522138
738 1.7074599131
50000 125.0000000000
