evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
208 2.6881720430
888 2.8344671202
1433 2.9976019185
2175 3.2467532468
3578 3.7091988131
5000 1.8573551263
evaluations raw_y
1 0.9238728751
3 1.1150758252
6 1.3116474292
9 1.3812154696
19 1.4450867052
22 2.2281639929
103 2.3277467412
473 2.3992322457
771 2.5987525988
1346 2.6427061311
1782 2.9976019185
3483 3.0562347188
4595 3.1806615776
5000 2.1968365554
evaluations raw_y
1 0.8771929825
3 1.1071744907
4 1.2588116818
8 1.5451174289
52 1.6425755585
74 2.1367521368
244 2.3992322457
271 2.8868360277
389 3.0562347188
932 3.2467532468
2107 3.3156498674
2454 3.5410764873
3365 3.6231884058
3850 3.7091988131
5000 1.2899896801
evaluations raw_y
1 1.1150758252
2 1.7531556802
23 2.1079258010
139 2.1968365554
306 2.5150905433
1462 2.5987525988
2006 2.8344671202
3715 2.9411764706
3957 2.9976019185
4282 3.4626038781
5000 1.2388503469
evaluations raw_y
1 1.0766580534
2 1.0917030568
3 1.2487512488
5 1.4863258026
7 1.5151515152
31 1.8142235123
117 2.5150905433
380 2.5562372188
508 2.5987525988
536 2.8344671202
869 2.9976019185
1326 3.9936102236
5000 1.7730496454
evaluations raw_y
1 0.9462528388
2 1.0620220901
7 1.5923566879
31 2.2281639929
309 2.7352297593
1193 2.7839643653
1717 2.8868360277
1937 2.9976019185
2351 3.0562347188
3644 3.1806615776
5000 1.5006002401
evaluations raw_y
1 1.0008006405
2 1.0407993339
5 1.0692899914
9 1.4723203769
15 1.5006002401
16 2.3277467412
267 2.6427061311
389 2.7352297593
734 2.8344671202
1801 2.9411764706
2724 3.0562347188
3199 3.1172069825
4038 3.4626038781
4288 3.5410764873
4742 3.7091988131
5000 1.5762925599
evaluations raw_y
1 0.8132726090
2 1.4318442153
6 2.0000000000
129 2.2603978300
251 2.5150905433
382 2.7352297593
1325 2.7839643653
1340 2.8868360277
3779 3.1806615776
3921 3.4626038781
5000 0.9637625289
evaluations raw_y
1 0.7196315486
2 1.0477787091
4 1.0548523207
6 2.1367521368
90 2.1968365554
286 2.2935779817
301 2.4752475248
321 3.1172069825
2133 3.3875338753
3038 3.7993920973
5000 1.7146776406
evaluations raw_y
1 1.1230907457
3 1.5762925599
9 1.6425755585
23 1.7337031900
34 1.9747235387
103 2.1079258010
194 2.1968365554
214 2.3629489603
515 2.4752475248
596 2.8868360277
2795 3.1806615776
5000 1.5605493134
