evaluations raw_y
1 48.4132853043
2 6.6140243923
11 6.5743819819
21 5.5179051234
23 5.2139936870
32 5.0167156541
35 2.8180285640
113 2.2375870860
114 0.8503745598
129 0.6669084843
158 0.6273694898
195 0.2220579738
241 0.1209708553
429 0.1166446337
438 0.0986595593
442 0.0382009757
511 0.0231622959
522 0.0144207616
527 0.0026015583
627 0.0016783329
726 0.0008057979
762 0.0000874723
1253 0.0000618380
1287 0.0000477722
1321 0.0000377174
1331 0.0000212424
1337 0.0000057505
1434 0.0000044716
1435 0.0000018704
1613 0.0000008895
1644 0.0000008186
1646 0.0000005510
1701 0.0000003027
1732 0.0000002887
1811 0.0000002601
1850 0.0000002395
1863 0.0000002140
1881 0.0000001003
1919 0.0000000459
1972 0.0000000253
2024 0.0000000066
2168 0.0000000026
2333 0.0000000018
2417 0.0000000015
2457 0.0000000008
2539 0.0000000007
2550 0.0000000004
2717 0.0000000002
2738 0.0000000001
50000 0.0000000000
evaluations raw_y
1 34.6444082566
7 14.8017609985
11 4.1494563802
68 1.5340243430
141 0.8552168980
159 0.5501401820
239 0.4081366743
316 0.2788123192
329 0.2579074317
338 0.0278552783
493 0.0247449085
497 0.0233724020
524 0.0166223049
530 0.0155176415
588 0.0118463423
612 0.0094878062
614 0.0048222900
690 0.0041113259
717 0.0032270202
737 0.0015295638
814 0.0015044023
820 0.0012876888
828 0.0011379302
840 0.0006989778
917 0.0002764875
1012 0.0001557451
1025 0.0001406675
1064 0.0001054555
1108 0.0000667386
1113 0.0000572196
1121 0.0000518117
1123 0.0000276264
1199 0.0000176177
1213 0.0000151672
1281 0.0000113158
1329 0.0000082996
1430 0.0000057709
1508 0.0000034065
1521 0.0000014283
1562 0.0000014138
1619 0.0000007025
1672 0.0000006418
1694 0.0000004329
1724 0.0000001560
1816 0.0000001317
1878 0.0000001163
1897 0.0000000780
1903 0.0000000510
2009 0.0000000213
2054 0.0000000209
2056 0.0000000197
2088 0.0000000191
2116 0.0000000159
2131 0.0000000132
2147 0.0000000091
2218 0.0000000066
2219 0.0000000053
2233 0.0000000035
2250 0.0000000028
2333 0.0000000020
2406 0.0000000017
2475 0.0000000005
2513 0.0000000003
2711 0.0000000001
2831 0.0000000000
20610 0.0000000000
