evaluations raw_y
1 -382.0000000000
7 -309.0000000000
8 -302.0000000000
18 -275.0000000000
19 -201.0000000000
122 -135.0000000000
286 -127.0000000000
290 -114.0000000000
315 -108.0000000000
362 -101.0000000000
368 -81.0000000000
452 -74.0000000000
495 -48.0000000000
598 -41.0000000000
624 -35.0000000000
677 -22.0000000000
905 -21.0000000000
952 -17.0000000000
954 -15.0000000000
1142 -8.0000000000
1349 3.0000000000
2548 -16.0000000000
evaluations raw_y
1 -470.0000000000
2 -342.0000000000
5 -309.0000000000
26 -288.0000000000
30 -227.0000000000
48 -221.0000000000
99 -215.0000000000
163 -188.0000000000
209 -174.0000000000
249 -147.0000000000
363 -127.0000000000
370 -121.0000000000
373 -108.0000000000
493 -95.0000000000
503 -88.0000000000
545 -68.0000000000
580 -16.0000000000
1126 -9.0000000000
1270 -8.0000000000
1510 -2.0000000000
1987 2.0000000000
2010 4.0000000000
2548 -22.0000000000
evaluations raw_y
1 -275.0000000000
3 -221.0000000000
11 -195.0000000000
55 -188.0000000000
109 -168.0000000000
217 -155.0000000000
279 -127.0000000000
366 -87.0000000000
503 -75.0000000000
550 -68.0000000000
615 -42.0000000000
676 -40.0000000000
736 -35.0000000000
764 -29.0000000000
788 -16.0000000000
898 -10.0000000000
1370 -9.0000000000
1647 -3.0000000000
1860 2.0000000000
2061 4.0000000000
2548 -36.0000000000
evaluations raw_y
1 -423.0000000000
5 -410.0000000000
6 -349.0000000000
7 -315.0000000000
8 -234.0000000000
19 -188.0000000000
259 -162.0000000000
299 -114.0000000000
407 -101.0000000000
481 -80.0000000000
563 -48.0000000000
995 -41.0000000000
1022 -36.0000000000
1030 -34.0000000000
1086 -28.0000000000
1169 -16.0000000000
1233 -15.0000000000
1799 -10.0000000000
1812 -3.0000000000
1829 -2.0000000000
2059 3.0000000000
2317 4.0000000000
2548 -36.0000000000
evaluations raw_y
1 -356.0000000000
4 -355.0000000000
6 -343.0000000000
11 -309.0000000000
23 -255.0000000000
57 -174.0000000000
158 -148.0000000000
216 -134.0000000000
264 -109.0000000000
306 -94.0000000000
484 -88.0000000000
539 -81.0000000000
547 -68.0000000000
607 -62.0000000000
660 -42.0000000000
692 -16.0000000000
1039 -4.0000000000
1405 -3.0000000000
1429 -2.0000000000
1444 2.0000000000
1538 3.0000000000
2548 -28.0000000000
evaluations raw_y
1 -456.0000000000
2 -195.0000000000
9 -174.0000000000
52 -147.0000000000
107 -134.0000000000
158 -127.0000000000
191 -101.0000000000
222 -87.0000000000
407 -75.0000000000
433 -62.0000000000
550 -55.0000000000
692 -48.0000000000
855 -35.0000000000
942 -28.0000000000
1133 -11.0000000000
1206 -4.0000000000
1239 5.0000000000
2548 -16.0000000000
evaluations raw_y
1 -403.0000000000
3 -308.0000000000
13 -201.0000000000
121 -195.0000000000
246 -148.0000000000
371 -134.0000000000
511 -121.0000000000
551 -101.0000000000
765 -75.0000000000
828 -68.0000000000
876 -61.0000000000
893 -55.0000000000
939 -49.0000000000
1123 -41.0000000000
1197 -36.0000000000
1228 -15.0000000000
1571 -11.0000000000
1581 -10.0000000000
1727 -3.0000000000
1830 5.0000000000
2548 -55.0000000000
evaluations raw_y
1 -261.0000000000
10 -181.0000000000
114 -161.0000000000
173 -154.0000000000
247 -148.0000000000
266 -141.0000000000
268 -121.0000000000
305 -81.0000000000
354 -75.0000000000
431 -61.0000000000
575 -48.0000000000
604 -36.0000000000
652 -35.0000000000
841 -8.0000000000
1291 -3.0000000000
1363 3.0000000000
2060 4.0000000000
2548 -28.0000000000
evaluations raw_y
1 -598.0000000000
2 -504.0000000000
3 -362.0000000000
4 -202.0000000000
104 -168.0000000000
140 -148.0000000000
223 -128.0000000000
238 -107.0000000000
269 -75.0000000000
561 -35.0000000000
1009 -29.0000000000
1192 -21.0000000000
1206 -9.0000000000
1731 -4.0000000000
1833 -3.0000000000
2059 5.0000000000
2548 -74.0000000000
evaluations raw_y
1 -369.0000000000
6 -302.0000000000
17 -235.0000000000
100 -208.0000000000
130 -167.0000000000
185 -121.0000000000
203 -108.0000000000
349 -101.0000000000
497 -94.0000000000
633 -81.0000000000
733 -54.0000000000
821 -48.0000000000
996 -42.0000000000
1156 -35.0000000000
1185 -16.0000000000
1519 -9.0000000000
1777 -3.0000000000
2135 -1.0000000000
2192 3.0000000000
2404 4.0000000000
2548 -16.0000000000
evaluations raw_y
1 -416.0000000000
2 -322.0000000000
4 -295.0000000000
7 -282.0000000000
12 -247.0000000000
54 -174.0000000000
171 -167.0000000000
212 -154.0000000000
305 -134.0000000000
346 -114.0000000000
354 -88.0000000000
576 -82.0000000000
655 -62.0000000000
793 -61.0000000000
859 -47.0000000000
896 -41.0000000000
1075 -28.0000000000
1235 -22.0000000000
1238 -17.0000000000
1271 -9.0000000000
1283 -3.0000000000
1551 2.0000000000
2042 3.0000000000
2548 -37.0000000000
evaluations raw_y
