evaluations raw_y
1 -423.0000000000
2 -329.0000000000
12 -289.0000000000
19 -282.0000000000
20 -248.0000000000
83 -221.0000000000
226 -201.0000000000
423 -175.0000000000
527 -174.0000000000
545 -161.0000000000
671 -115.0000000000
905 -80.0000000000
1158 -63.0000000000
1233 -61.0000000000
1429 -48.0000000000
1529 -35.0000000000
1631 -29.0000000000
1680 -15.0000000000
1846 -9.0000000000
2050 -4.0000000000
2500 -88.0000000000
evaluations raw_y
1 -369.0000000000
3 -349.0000000000
5 -275.0000000000
15 -235.0000000000
22 -181.0000000000
291 -168.0000000000
307 -128.0000000000
431 -114.0000000000
523 -81.0000000000
772 -68.0000000000
864 -41.0000000000
885 -35.0000000000
945 -28.0000000000
1250 -23.0000000000
1487 -10.0000000000
2215 -9.0000000000
2500 -36.0000000000
evaluations raw_y
1 -363.0000000000
4 -362.0000000000
9 -342.0000000000
10 -248.0000000000
48 -221.0000000000
133 -188.0000000000
348 -167.0000000000
519 -161.0000000000
602 -147.0000000000
756 -121.0000000000
759 -81.0000000000
1128 -62.0000000000
1322 -61.0000000000
1373 -55.0000000000
1417 -49.0000000000
1515 -42.0000000000
1609 -35.0000000000
1710 -28.0000000000
2043 -10.0000000000
2500 -81.0000000000
evaluations raw_y
1 -329.0000000000
22 -315.0000000000
26 -162.0000000000
316 -161.0000000000
357 -142.0000000000
411 -135.0000000000
434 -134.0000000000
525 -128.0000000000
530 -87.0000000000
597 -74.0000000000
651 -67.0000000000
983 -35.0000000000
1169 -34.0000000000
1226 -21.0000000000
1928 -15.0000000000
2491 -10.0000000000
2500 -69.0000000000
evaluations raw_y
1 -342.0000000000
4 -248.0000000000
65 -228.0000000000
252 -200.0000000000
344 -133.0000000000
631 -128.0000000000
783 -121.0000000000
957 -108.0000000000
1102 -82.0000000000
1118 -81.0000000000
1342 -42.0000000000
1608 -41.0000000000
1877 -28.0000000000
2069 -16.0000000000
2213 -10.0000000000
2500 -54.0000000000
evaluations raw_y
1 -295.0000000000
5 -282.0000000000
27 -255.0000000000
44 -229.0000000000
80 -228.0000000000
139 -195.0000000000
173 -154.0000000000
383 -128.0000000000
503 -95.0000000000
616 -87.0000000000
842 -74.0000000000
858 -61.0000000000
865 -48.0000000000
1096 -34.0000000000
1208 -28.0000000000
1301 -22.0000000000
1559 -8.0000000000
2196 4.0000000000
2500 -156.0000000000
evaluations raw_y
1 -443.0000000000
2 -397.0000000000
3 -362.0000000000
5 -329.0000000000
