evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
400 2.2281639929
571 2.2935779817
612 2.4366471735
848 2.5150905433
1355 2.6427061311
1685 2.9411764706
2486 3.3875338753
5000 1.2794268168
evaluations raw_y
1 1.1312217195
5 1.1737089202
9 1.2794268168
10 1.6425755585
25 2.0000000000
380 2.0259319287
446 2.0798668885
451 2.2935779817
496 2.3629489603
621 2.9411764706
4130 3.1172069825
5000 1.4450867052
evaluations raw_y
1 0.7507507508
2 1.0271158587
4 1.3116474292
11 1.4188422247
13 1.4450867052
15 1.5151515152
20 1.5451174289
39 1.7146776406
42 1.7730496454
96 2.1367521368
176 2.4366471735
584 2.5150905433
659 2.8868360277
3522 2.9411764706
5000 1.0407993339
evaluations raw_y
1 0.8007687380
3 1.0407993339
5 1.2195121951
7 1.4318442153
16 2.0525451560
155 2.1079258010
285 2.1663778163
441 2.1968365554
488 2.3992322457
538 2.7839643653
2146 2.8344671202
4264 2.9411764706
5000 0.9293680297
evaluations raw_y
1 0.8486082824
2 1.1916110582
3 1.3691128149
4 1.9025875190
162 2.0525451560
196 2.4366471735
223 2.9411764706
361 3.2467532468
3666 3.3156498674
5000 2.0259319287
evaluations raw_y
1 0.7002801120
2 0.8175277959
3 1.6960651289
78 1.7531556802
85 2.0000000000
198 2.2281639929
211 2.3277467412
708 2.4752475248
709 2.6881720430
842 2.7352297593
2736 3.7091988131
5000 0.8871540099
evaluations raw_y
1 1.2291052114
4 1.2899896801
9 1.4060742407
11 1.6600265604
24 1.8573551263
30 1.9025875190
61 1.9747235387
124 2.1079258010
208 2.3277467412
797 2.5562372188
961 2.7352297593
1172 2.7839643653
1425 2.8344671202
2707 2.8868360277
3584 3.1806615776
3930 3.4626038781
5000 1.5605493134
evaluations raw_y
1 1.1825922422
2 1.2388503469
3 1.2588116818
6 1.7337031900
95 1.9260400616
160 1.9747235387
227 2.0000000000
239 2.2281639929
341 2.3277467412
443 2.3992322457
489 2.4366471735
510 2.4752475248
677 3.1806615776
4610 3.2467532468
4963 3.4626038781
5000 1.0993843448
evaluations raw_y
1 0.8261731659
2 1.1394712853
4 1.1563367253
6 1.2588116818
16 1.2690355330
20 1.3227513228
21 1.5605493134
27 1.8355359765
47 1.9025875190
51 2.1663778163
199 2.2281639929
826 2.4752475248
962 2.8868360277
4733 3.2467532468
5000 2.2281639929
evaluations raw_y
1 1.0072522160
2 1.0407993339
3 1.7337031900
31 2.1079258010
376 2.2603978300
451 2.4366471735
690 2.4752475248
1004 2.5150905433
1793 2.5987525988
2238 2.6881720430
3740 2.7352297593
3785 2.7839643653
5000 1.4863258026
