evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
444 2.3277467412
763 2.5987525988
1820 2.9411764706
3632 3.0562347188
5000 1.8796992481
evaluations raw_y
1 1.2388503469
5 1.4318442153
19 1.4723203769
31 1.5605493134
55 1.9500780031
151 1.9747235387
270 2.1968365554
600 2.6427061311
4243 2.7352297593
5000 1.7337031900
evaluations raw_y
1 0.5763024435
2 1.0548523207
3 1.2899896801
5 1.5006002401
6 1.5923566879
8 1.6600265604
36 1.7146776406
62 1.7730496454
68 1.8142235123
96 2.0259319287
140 2.6427061311
1946 2.8344671202
5000 1.3935340022
evaluations raw_y
1 1.3935340022
3 1.4863258026
9 1.5605493134
23 1.9500780031
275 2.2603978300
429 2.4752475248
1056 2.6881720430
2625 2.8868360277
3699 3.3875338753
5000 1.3691128149
evaluations raw_y
1 1.3572204126
9 1.5762925599
11 1.8142235123
44 1.9025875190
68 1.9500780031
98 2.0798668885
156 2.1367521368
176 2.1663778163
408 2.1968365554
776 2.3629489603
1226 2.5150905433
1408 2.7839643653
3742 3.0562347188
5000 0.9077705156
evaluations raw_y
1 0.7130633200
2 0.7196315486
3 1.2899896801
7 1.7730496454
37 2.1079258010
95 2.1663778163
305 2.2603978300
948 2.3277467412
1015 3.2467532468
5000 1.3007284079
evaluations raw_y
1 0.7436049970
2 1.5451174289
10 1.7146776406
72 1.7531556802
102 1.8142235123
122 2.3992322457
366 2.4366471735
1255 2.4752475248
2974 2.7839643653
5000 1.2690355330
evaluations raw_y
1 0.6053268765
2 0.8821453776
3 1.2100677638
7 1.2899896801
8 2.3277467412
2012 2.5150905433
2030 2.6881720430
5000 1.5299877601
evaluations raw_y
1 0.9520182788
3 1.2100677638
5 1.3340448239
7 1.5151515152
24 1.5923566879
30 1.6425755585
42 2.0259319287
144 2.3992322457
1354 2.4752475248
3192 2.5150905433
3398 2.5562372188
3434 2.7352297593
3795 2.8868360277
5000 0.9819324430
evaluations raw_y
1 1.0407993339
2 1.0620220901
3 1.2388503469
6 1.3812154696
9 2.0259319287
17 2.1079258010
253 2.7839643653
3880 2.8344671202
5000 1.0204081633
