evaluations raw_y
1 -31933.0000000000
7 -31870.0000000000
11 -31779.0000000000
13 -31639.0000000000
102 -31401.0000000000
106 -28636.0000000000
222 -28306.0000000000
224 -26907.0000000000
320 -26487.0000000000
444 -26172.0000000000
486 -25163.0000000000
632 -25108.0000000000
638 -24603.0000000000
647 -23532.0000000000
711 -22967.0000000000
725 -22588.0000000000
850 -19747.0000000000
918 -19430.0000000000
979 -17941.0000000000
1010 -17645.0000000000
1120 -17253.0000000000
1128 -16716.0000000000
1224 -16653.0000000000
1276 -14623.0000000000
1405 -13655.0000000000
1413 -13439.0000000000
1514 -13279.0000000000
1530 -12628.0000000000
1556 -11956.0000000000
1604 -11802.0000000000
1636 -11760.0000000000
1641 -11739.0000000000
1643 -11417.0000000000
1714 -11284.0000000000
1722 -10815.0000000000
1728 -10471.0000000000
1737 -7770.0000000000
1827 -7098.0000000000
1903 -7091.0000000000
2006 -6524.0000000000
2111 -6223.0000000000
2129 -5425.0000000000
2376 -5131.0000000000
2416 -5047.0000000000
2423 -4676.0000000000
2643 -4641.0000000000
2711 -4438.0000000000
2808 -4319.0000000000
2846 -4312.0000000000
2921 -4193.0000000000
3033 -4158.0000000000
3256 -4067.0000000000
3328 -4053.0000000000
3367 -4004.0000000000
3444 -3885.0000000000
3547 -3857.0000000000
3590 -3773.0000000000
3719 -3710.0000000000
3750 -3675.0000000000
3843 -3647.0000000000
3957 -3605.0000000000
4015 -3535.0000000000
4168 -3528.0000000000
4171 -3493.0000000000
4181 -3395.0000000000
4208 -3325.0000000000
4409 -3269.0000000000
4420 -3206.0000000000
4443 -3087.0000000000
4543 -3031.0000000000
4605 -2940.0000000000
4706 -2842.0000000000
4753 -2520.0000000000
4891 -2254.0000000000
5000 -2520.0000000000
evaluations raw_y
1 -31947.0000000000
2 -31814.0000000000
5 -31786.0000000000
7 -31590.0000000000
76 -31576.0000000000
82 -31569.0000000000
106 -30890.0000000000
114 -30149.0000000000
122 -29153.0000000000
202 -27949.0000000000
322 -25968.0000000000
378 -24540.0000000000
402 -24351.0000000000
504 -23574.0000000000
612 -19197.0000000000
913 -19048.0000000000
919 -18915.0000000000
928 -18378.0000000000
1011 -18203.0000000000
1044 -18084.0000000000
1102 -18020.0000000000
1124 -17584.0000000000
1133 -16257.0000000000
1255 -15582.0000000000
1272 -15464.0000000000
1325 -15254.0000000000
1349 -15030.0000000000
1358 -14554.0000000000
1403 -12383.0000000000
1471 -12201.0000000000
1536 -12187.0000000000
1596 -9284.0000000000
1744 -9221.0000000000
1827 -9142.0000000000
1871 -8164.0000000000
1911 -7285.0000000000
2022 -5737.0000000000
2205 -4937.0000000000
2238 -4903.0000000000
2265 -4823.0000000000
2326 -4744.0000000000
2406 -3666.0000000000
2513 -3325.0000000000
2533 -3091.0000000000
2623 -3077.0000000000
2727 -2958.0000000000
2745 -2909.0000000000
2774 -2907.0000000000
2786 -2721.0000000000
2854 -2692.0000000000
2892 -2579.0000000000
2912 -2396.0000000000
2918 -2284.0000000000
2956 -2166.0000000000
2988 -2145.0000000000
3098 -2130.0000000000
3125 -1798.0000000000
3237 -1783.0000000000
3337 -1782.0000000000
3403 -1762.0000000000
3429 -1727.0000000000
3495 -1669.0000000000
3683 -1667.0000000000
3761 -1652.0000000000
3779 -1645.0000000000
3811 -1624.0000000000
3840 -1609.0000000000
3853 -1602.0000000000
3915 -1589.0000000000
3970 -1560.0000000000
4079 -1502.0000000000
4157 -1478.0000000000
4262 -1473.0000000000
4270 -1464.0000000000
4304 -1449.0000000000
4316 -1415.0000000000
4350 -1364.0000000000
4453 -1362.0000000000
4472 -1357.0000000000
4532 -1355.0000000000
4538 -1248.0000000000
4749 -1219.0000000000
4917 -1190.0000000000
4941 -1188.0000000000
4981 -1183.0000000000
5000 -1219.0000000000
evaluations raw_y
1 -31856.0000000000
10 -31548.0000000000
104 -30960.0000000000
108 -30953.0000000000
110 -30532.0000000000
118 -29721.0000000000
218 -29567.0000000000
221 -28783.0000000000
320 -24988.0000000000
437 -24904.0000000000
456 -24443.0000000000
520 -24148.0000000000
542 -24015.0000000000
653 -22539.0000000000
672 -22111.0000000000
704 -22043.0000000000
803 -21271.0000000000
892 -21000.0000000000
907 -20922.0000000000
970 -20676.0000000000
972 -20312.0000000000
1002 -19828.0000000000
1032 -19753.0000000000
1043 -17273.0000000000
1202 -16359.0000000000
1314 -15064.0000000000
1482 -13194.0000000000
1526 -11976.0000000000
1638 -10464.0000000000
1948 -10288.0000000000
2028 -10156.0000000000
2062 -9666.0000000000
2082 -9512.0000000000
2103 -9463.0000000000
2117 -9288.0000000000
2146 -9036.0000000000
2191 -8980.0000000000
2213 -8357.0000000000
2231 -8014.0000000000
2296 -7459.0000000000
2381 -7244.0000000000
2432 -6712.0000000000
2517 -6346.0000000000
2565 -6228.0000000000
2619 -5858.0000000000
2638 -5661.0000000000
2703 -5360.0000000000
2816 -4442.0000000000
2987 -4239.0000000000
3024 -4197.0000000000
3041 -4122.0000000000
3101 -3827.0000000000
3149 -3706.0000000000
3214 -3596.0000000000
3238 -3069.0000000000
3354 -3042.0000000000
3356 -3007.0000000000
3461 -2854.0000000000
3541 -2813.0000000000
3574 -2399.0000000000
3703 -2205.0000000000
3802 -2184.0000000000
3825 -2156.0000000000
3938 -2149.0000000000
3956 -2135.0000000000
3960 -2058.0000000000
4002 -1974.0000000000
4090 -1841.0000000000
4187 -1736.0000000000
4205 -1644.0000000000
4262 -1617.0000000000
4303 -1589.0000000000
4327 -1575.0000000000
4339 -1561.0000000000
4404 -1448.0000000000
4513 -1428.0000000000
4531 -1337.0000000000
4615 -1274.0000000000
4688 -1239.0000000000
4698 -1113.0000000000
4715 -1085.0000000000
4744 -924.0000000000
4814 -894.0000000000
4905 -608.0000000000
5000 -1372.0000000000
evaluations raw_y
1 -32255.0000000000
2 -32143.0000000000
3 -31947.0000000000
5 -31870.0000000000
10 -31751.0000000000
20 -31611.0000000000
41 -31492.0000000000
104 -31394.0000000000
134 -28292.0000000000
304 -27950.0000000000
316 -27326.0000000000
410 -26796.0000000000
456 -26486.0000000000
510 -26263.0000000000
522 -24610.0000000000
630 -22180.0000000000
731 -21886.0000000000
817 -21684.0000000000
859 -20612.0000000000
963 -20507.0000000000
1006 -20390.0000000000
1016 -17511.0000000000
1148 -14745.0000000000
1236 -13850.0000000000
1406 -13813.0000000000
1424 -13735.0000000000
1484 -13402.0000000000
1506 -12932.0000000000
1562 -12866.0000000000
1565 -12462.0000000000
1601 -10780.0000000000
1824 -10685.0000000000
1849 -10527.0000000000
1890 -9095.0000000000
1919 -8227.0000000000
1986 -7932.0000000000
2010 -7492.0000000000
2101 -7406.0000000000
2129 -7016.0000000000
2162 -6459.0000000000
2288 -5553.0000000000
2412 -5402.0000000000
2419 -5140.0000000000
2532 -5106.0000000000
2566 -4814.0000000000
2601 -4160.0000000000
2640 -3644.0000000000
2756 -3209.0000000000
2837 -2996.0000000000
2866 -2779.0000000000
2902 -2772.0000000000
3001 -2612.0000000000
3015 -2537.0000000000
3025 -2353.0000000000
3111 -2087.0000000000
3206 -2029.0000000000
3245 -1955.0000000000
3263 -1897.0000000000
3301 -1884.0000000000
3303 -1660.0000000000
3338 -1353.0000000000
3532 -1346.0000000000
3543 -1316.0000000000
3592 -1290.0000000000
3616 -1280.0000000000
3646 -1044.0000000000
3732 -919.0000000000
3803 -807.0000000000
3806 -730.0000000000
3817 -542.0000000000
3904 -535.0000000000
4028 -471.0000000000
4103 -444.0000000000
4149 -380.0000000000
4207 -360.0000000000
4337 -255.0000000000
4432 -249.0000000000
4515 -179.0000000000
4548 -159.0000000000
4552 -119.0000000000
4603 -108.0000000000
4715 -102.0000000000
4728 -39.0000000000
4805 -34.0000000000
4885 -28.0000000000
4924 -27.0000000000
4941 -26.0000000000
4952 0.0000000000
5000 -97.0000000000
evaluations raw_y
1 -32507.0000000000
2 -31933.0000000000
4 -31793.0000000000
6 -31653.0000000000
22 -31548.0000000000
110 -31443.0000000000
122 -29141.0000000000
268 -29007.0000000000
275 -28328.0000000000
304 -26074.0000000000
416 -25710.0000000000
440 -25506.0000000000
503 -23407.0000000000
696 -23070.0000000000
730 -22594.0000000000
774 -20999.0000000000
823 -20852.0000000000
832 -20081.0000000000
921 -19725.0000000000
972 -19011.0000000000
1044 -18808.0000000000
1118 -17618.0000000000
1164 -17569.0000000000
1179 -16895.0000000000
1207 -14341.0000000000
1338 -13985.0000000000
1412 -12962.0000000000
1441 -12857.0000000000
1545 -12766.0000000000
1613 -12410.0000000000
1653 -12361.0000000000
1666 -10511.0000000000
1732 -10215.0000000000
1826 -10208.0000000000
1882 -10007.0000000000
1893 -7915.0000000000
1972 -7908.0000000000
2011 -7866.0000000000
2091 -7732.0000000000
2130 -7690.0000000000
2164 -7081.0000000000
2232 -6288.0000000000
2243 -6286.0000000000
2313 -6260.0000000000
2402 -5667.0000000000
2542 -5564.0000000000
2609 -5395.0000000000
2702 -5310.0000000000
2706 -5244.0000000000
2737 -5162.0000000000
2838 -4645.0000000000
3025 -4300.0000000000
3175 -4162.0000000000
3245 -4134.0000000000
3285 -4088.0000000000
3296 -4022.0000000000
3319 -3884.0000000000
3321 -3873.0000000000
3404 -3793.0000000000
3434 -3759.0000000000
3541 -3713.0000000000
3603 -3638.0000000000
3619 -3573.0000000000
3625 -3540.0000000000
3629 -3335.0000000000
3695 -3130.0000000000
3777 -3123.0000000000
3917 -2832.0000000000
3919 -2785.0000000000
4021 -2765.0000000000
4156 -2737.0000000000
4159 -2212.0000000000
4240 -1828.0000000000
4420 -1814.0000000000
4518 -1800.0000000000
4527 -1701.0000000000
4551 -1636.0000000000
4596 -1597.0000000000
4630 -1360.0000000000
4712 -1296.0000000000
4713 -1180.0000000000
4806 -1178.0000000000
4808 -1098.0000000000
4823 -1068.0000000000
4879 -964.0000000000
4909 -760.0000000000
4949 -666.0000000000
5000 -1221.0000000000
evaluations raw_y
1 -31814.0000000000
6 -31765.0000000000
37 -31653.0000000000
39 -31618.0000000000
82 -31583.0000000000
87 -31492.0000000000
104 -29440.0000000000
132 -28559.0000000000
238 -27894.0000000000
268 -26641.0000000000
376 -25625.0000000000
489 -25471.0000000000
518 -25211.0000000000
536 -22687.0000000000
706 -22448.0000000000
808 -21861.0000000000
903 -21586.0000000000
914 -21511.0000000000
918 -20337.0000000000
962 -18822.0000000000
1120 -18021.0000000000
1151 -17807.0000000000
1257 -17722.0000000000
1270 -16282.0000000000
1316 -16128.0000000000
1327 -14671.0000000000
1450 -14658.0000000000
1505 -14209.0000000000
1621 -12425.0000000000
1757 -10023.0000000000
1806 -8986.0000000000
1924 -8000.0000000000
2162 -7896.0000000000
2212 -7797.0000000000
2251 -7279.0000000000
2301 -6783.0000000000
2417 -6782.0000000000
2432 -6713.0000000000
2446 -6307.0000000000
2570 -6117.0000000000
2620 -5432.0000000000
2691 -5285.0000000000
2771 -5151.0000000000
2775 -4914.0000000000
2807 -4886.0000000000
2914 -4767.0000000000
2938 -4501.0000000000
2941 -4431.0000000000
3009 -4270.0000000000
3015 -4144.0000000000
3104 -3948.0000000000
3156 -3870.0000000000
3234 -3842.0000000000
3265 -3752.0000000000
3331 -3339.0000000000
3374 -3317.0000000000
3403 -3310.0000000000
3464 -3150.0000000000
3547 -2554.0000000000
3612 -2547.0000000000
3843 -2197.0000000000
3909 -2114.0000000000
4084 -2107.0000000000
4112 -1987.0000000000
4219 -1778.0000000000
4365 -1771.0000000000
4371 -1764.0000000000
4397 -1638.0000000000
4467 -1587.0000000000
4469 -1477.0000000000
4594 -1448.0000000000
4605 -1428.0000000000
4613 -1372.0000000000
4718 -1323.0000000000
4740 -1295.0000000000
4762 -1071.0000000000
4918 -875.0000000000
5000 -1491.0000000000
evaluations raw_y
1 -31940.0000000000
2 -31870.0000000000
3 -31737.0000000000
20 -31695.0000000000
21 -31653.0000000000
35 -31583.0000000000
73 -31555.0000000000
112 -30519.0000000000
132 -29951.0000000000
146 -29848.0000000000
194 -29812.0000000000
214 -28329.0000000000
218 -28305.0000000000
254 -28139.0000000000
280 -27664.0000000000
306 -24444.0000000000
582 -24304.0000000000
586 -24163.0000000000
611 -22736.0000000000
705 -22680.0000000000
804 -21469.0000000000
834 -19248.0000000000
933 -18905.0000000000
1010 -18262.0000000000
1217 -17715.0000000000
1218 -16730.0000000000
1254 -16338.0000000000
1271 -16275.0000000000
1297 -15405.0000000000
1377 -15050.0000000000
1450 -15048.0000000000
1473 -14742.0000000000
1515 -14518.0000000000
1546 -13207.0000000000
1584 -13139.0000000000
1672 -13076.0000000000
1707 -13034.0000000000
1726 -12971.0000000000
1730 -11924.0000000000
1832 -11819.0000000000
1901 -11721.0000000000
1922 -11168.0000000000
1933 -10404.0000000000
2064 -9751.0000000000
2211 -9724.0000000000
2236 -9476.0000000000
2271 -9463.0000000000
2289 -9437.0000000000
2293 -8968.0000000000
2344 -8752.0000000000
2434 -8396.0000000000
2486 -7380.0000000000
2588 -7317.0000000000
2607 -7184.0000000000
2617 -7084.0000000000
2632 -6151.0000000000
2756 -5932.0000000000
2860 -5843.0000000000
2870 -5674.0000000000
2915 -5476.0000000000
2930 -5434.0000000000
2980 -5310.0000000000
3005 -4866.0000000000
3101 -4811.0000000000
3153 -4628.0000000000
3244 -4556.0000000000
3270 -4241.0000000000
3459 -4206.0000000000
3479 -4192.0000000000
3603 -3875.0000000000
3789 -3751.0000000000
3850 -3674.0000000000
3927 -3552.0000000000
3991 -3499.0000000000
4074 -3430.0000000000
4165 -3322.0000000000
4207 -3159.0000000000
4362 -2949.0000000000
4437 -2816.0000000000
4579 -2795.0000000000
4595 -2784.0000000000
4633 -2592.0000000000
4677 -2420.0000000000
4702 -2396.0000000000
4717 -2359.0000000000
4831 -2246.0000000000
4881 -2191.0000000000
4969 -2190.0000000000
5000 -2627.0000000000
evaluations raw_y
1 -31548.0000000000
20 -31436.0000000000
118 -31394.0000000000
120 -30358.0000000000
124 -30189.0000000000
188 -29630.0000000000
218 -29006.0000000000
270 -28090.0000000000
313 -28083.0000000000
330 -27508.0000000000
368 -26193.0000000000
458 -23280.0000000000
538 -22174.0000000000
580 -21651.0000000000
682 -21280.0000000000
703 -19535.0000000000
813 -19016.0000000000
956 -18710.0000000000
985 -18583.0000000000
999 -16518.0000000000
1130 -16233.0000000000
1143 -15750.0000000000
1203 -14860.0000000000
1204 -14826.0000000000
1211 -14756.0000000000
1212 -14748.0000000000
1241 -14644.0000000000
1263 -14635.0000000000
1302 -11781.0000000000
1505 -11653.0000000000
1590 -11487.0000000000
1608 -10112.0000000000
1651 -10059.0000000000
1806 -9849.0000000000
1834 -9307.0000000000
1843 -8966.0000000000
1909 -8930.0000000000
1912 -8455.0000000000
1919 -7965.0000000000
1964 -7871.0000000000
2005 -7531.0000000000
2027 -6775.0000000000
2108 -5717.0000000000
2308 -5436.0000000000
2376 -5396.0000000000
2382 -4556.0000000000
2434 -4549.0000000000
2605 -4477.0000000000
2607 -4465.0000000000
2694 -4430.0000000000
2710 -4059.0000000000
2820 -3800.0000000000
2983 -3793.0000000000
3031 -3652.0000000000
3100 -3618.0000000000
3105 -3513.0000000000
3213 -3450.0000000000
3238 -3422.0000000000
3305 -3366.0000000000
3442 -3359.0000000000
3497 -3331.0000000000
3526 -3198.0000000000
3574 -3177.0000000000
3687 -3141.0000000000
