evaluations raw_y
1 45.6773474200
2 30.2089236661
7 23.6349116809
11 4.7970048550
59 2.6533944104
122 2.3144481569
136 2.0545012045
141 1.4953181011
156 1.4089598434
174 0.8764953993
175 0.5974115401
222 0.4133381596
312 0.1118832873
346 0.1062266040
440 0.0424479707
452 0.0092976941
803 0.0065281905
834 0.0056404274
878 0.0036854915
917 0.0012364877
1044 0.0009768309
1051 0.0005377188
1093 0.0004896150
1114 0.0003863104
1121 0.0003496272
1140 0.0002455374
1208 0.0001773708
1214 0.0000771231
1276 0.0000571276
1313 0.0000506115
1314 0.0000453824
1316 0.0000195463
1332 0.0000168196
1414 0.0000090167
1415 0.0000069670
1416 0.0000060878
1456 0.0000031026
1522 0.0000022475
1558 0.0000018398
1567 0.0000012997
1592 0.0000010918
1645 0.0000005571
1700 0.0000005090
1723 0.0000001947
1824 0.0000001566
1877 0.0000001014
1953 0.0000000813
1965 0.0000000706
2018 0.0000000454
2068 0.0000000383
2148 0.0000000152
2247 0.0000000145
2339 0.0000000110
2386 0.0000000102
2438 0.0000000099
2445 0.0000000089
2483 0.0000000083
2519 0.0000000078
2552 0.0000000060
2614 0.0000000043
2672 0.0000000037
2692 0.0000000022
2715 0.0000000017
2950 0.0000000016
2976 0.0000000012
2979 0.0000000010
3016 0.0000000005
3071 0.0000000001
3394 0.0000000000
50000 0.0000000000
evaluations raw_y
1 55.0288936815
2 25.4744955602
10 25.2010540514
11 6.6151931819
12 3.6043461963
67 1.2516611116
115 1.1742579155
180 0.7077214303
211 0.6025317064
214 0.4448822877
227 0.2493933133
315 0.1782718350
329 0.1557004305
341 0.0613707198
424 0.0602857126
432 0.0488726701
442 0.0420067299
472 0.0390942769
473 0.0173666594
569 0.0137995651
586 0.0058467899
621 0.0033368099
676 0.0032779955
733 0.0018873549
739 0.0012512004
793 0.0012373124
814 0.0010257758
819 0.0004572279
858 0.0001485989
935 0.0001202754
950 0.0001009848
1012 0.0000697493
1040 0.0000284971
1112 0.0000191718
1211 0.0000154759
1242 0.0000152623
1253 0.0000026045
1340 0.0000014202
1347 0.0000009695
1365 0.0000002743
1673 0.0000002548
1746 0.0000002139
1785 0.0000001595
1864 0.0000001084
1939 0.0000001041
1978 0.0000000548
2020 0.0000000513
2080 0.0000000398
2142 0.0000000381
2237 0.0000000266
2248 0.0000000233
2311 0.0000000128
2324 0.0000000112
2329 0.0000000081
2386 0.0000000034
2418 0.0000000033
2436 0.0000000016
2512 0.0000000008
2751 0.0000000006
2769 0.0000000004
2778 0.0000000003
2894 0.0000000001
3071 0.0000000000
50000 0.0000000000
evaluations raw_y
1 41.1124611321
6 35.8071854833
8 35.5858471458
11 34.2317619622
12 34.0546789811
15 11.3086790658
22 7.0609658615
111 4.1593182959
113 2.6189605423
120 2.3875906894
163 1.0941204102
213 0.9806192435
218 0.3523643557
253 0.2745876788
319 0.1649802323
416 0.1257133403
453 0.0711903374
477 0.0554188372
585 0.0222827116
721 0.0116310872
823 0.0047916606
922 0.0041834790
924 0.0036689664
947 0.0016812602
1046 0.0016568009
1056 0.0007026762
1109 0.0004524944
1141 0.0004016259
1186 0.0002088466
1195 0.0001461887
1240 0.0000845218
1329 0.0000717601
1393 0.0000577448
1413 0.0000279126
1453 0.0000278025
1514 0.0000245719
1518 0.0000074870
1637 0.0000071535
1656 0.0000047862
1696 0.0000046670
1715 0.0000024268
1727 0.0000020965
1800 0.0000019126
1816 0.0000012178
1833 0.0000010543
1871 0.0000010088
1894 0.0000005575
1936 0.0000003928
1968 0.0000003273
1987 0.0000002831
2030 0.0000001731
2087 0.0000001299
2097 0.0000001154
2126 0.0000000780
2167 0.0000000297
2231 0.0000000137
2311 0.0000000086
2430 0.0000000041
2561 0.0000000023
2620 0.0000000018
2635 0.0000000005
2701 0.0000000003
2823 0.0000000001
3060 0.0000000000
50000 0.0000000000
evaluations raw_y
1 42.0515063490
4 23.6655637171
11 5.6327892098
22 1.1581327068
50 0.6953453197
134 0.2618026870
237 0.1667145396
258 0.0992893192
277 0.0590678219
330 0.0304774335
416 0.0250802888
448 0.0172222614
529 0.0057908144
623 0.0049793928
667 0.0047320907
681 0.0030588795
694 0.0027699725
695 0.0021133872
716 0.0019253311
723 0.0008229213
724 0.0003771779
819 0.0001088739
960 0.0001027570
969 0.0000877971
1016 0.0000732768
1057 0.0000240915
1129 0.0000221869
1193 0.0000211823
1209 0.0000207855
1234 0.0000049336
1336 0.0000026963
1367 0.0000013401
1413 0.0000011773
1472 0.0000006749
1499 0.0000002005
1640 0.0000001652
1722 0.0000001233
1755 0.0000000772
1825 0.0000000770
1834 0.0000000666
1847 0.0000000625
1916 0.0000000433
1984 0.0000000209
2007 0.0000000127
2013 0.0000000091
2112 0.0000000074
2125 0.0000000043
2127 0.0000000025
2302 0.0000000018
2317 0.0000000013
2348 0.0000000011
2394 0.0000000009
2420 0.0000000006
2427 0.0000000002
2570 0.0000000001
50000 0.0000000000
evaluations raw_y
1 22.4063759633
10 18.3261268256
