evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
73 1.9747235387
82 2.3629489603
278 2.4366471735
347 2.4752475248
371 2.6881720430
507 2.7839643653
816 2.8868360277
1002 3.0562347188
1203 3.4626038781
1578 3.5410764873
1728 3.7993920973
5000 3.7993920973
evaluations raw_y
1 1.8142235123
46 2.0259319287
73 2.2603978300
163 2.4752475248
449 2.5987525988
475 2.6881720430
712 2.7352297593
802 2.7839643653
860 2.8344671202
884 2.9976019185
926 3.0562347188
932 3.3875338753
1475 4.0983606557
5000 1.8355359765
evaluations raw_y
1 1.1478420569
2 1.4060742407
5 1.4318442153
6 1.7146776406
12 2.3629489603
83 2.4752475248
213 2.5987525988
272 2.9976019185
507 3.2467532468
732 3.4626038781
948 3.7993920973
5000 1.6254876463
evaluations raw_y
1 1.0137875101
2 1.2588116818
9 1.3455328310
30 1.4318442153
43 1.4450867052
45 1.5006002401
53 1.5151515152
66 1.8142235123
79 2.0798668885
188 2.5987525988
246 2.8344671202
296 2.9976019185
426 3.3156498674
490 3.5410764873
5000 1.6960651289
evaluations raw_y
1 1.0477787091
4 1.1916110582
11 1.2899896801
14 1.6087516088
18 1.8796992481
134 2.2603978300
187 2.3277467412
230 2.3992322457
293 2.5150905433
621 2.5562372188
659 2.7839643653
932 2.8868360277
1125 2.9411764706
1309 3.0562347188
1829 3.1172069825
1863 3.3875338753
2181 3.6231884058
2521 3.7993920973
2746 4.4483985765
5000 3.3156498674
evaluations raw_y
1 1.0766580534
3 1.7531556802
5 2.5150905433
120 2.7839643653
437 3.1172069825
874 3.1806615776
967 3.3156498674
1749 3.5410764873
1967 3.6231884058
5000 2.1367521368
evaluations raw_y
1 1.0407993339
6 1.0477787091
7 1.2588116818
12 1.4585764294
13 1.6960651289
52 1.7531556802
69 1.8355359765
81 1.8796992481
85 1.9747235387
145 2.0259319287
270 2.0525451560
355 2.2935779817
379 3.3875338753
621 3.4626038781
864 3.5410764873
1703 3.7091988131
5000 2.5150905433
evaluations raw_y
1 1.3455328310
4 1.5006002401
5 1.5762925599
18 1.7146776406
29 2.1079258010
37 2.2935779817
174 2.5562372188
274 2.5987525988
524 2.7352297593
549 2.7839643653
960 3.4626038781
1268 3.5410764873
2121 4.2087542088
5000 1.4723203769
evaluations raw_y
1 0.9881422925
2 1.0339123242
3 1.0841283608
5 1.2007684918
6 1.2794268168
8 1.4723203769
16 1.5451174289
33 2.4752475248
235 2.6881720430
415 2.8868360277
530 3.0562347188
615 3.1172069825
644 3.1806615776
788 3.2467532468
898 3.3875338753
922 3.4626038781
1037 3.5410764873
2019 3.6231884058
2028 3.7091988131
2307 3.7993920973
2351 3.9936102236
5000 1.2588116818
evaluations raw_y
1 1.2690355330
2 1.4188422247
15 1.6087516088
38 1.9260400616
50 2.1079258010
110 2.2281639929
135 2.3629489603
293 2.5562372188
358 2.6881720430
452 2.7352297593
659 2.9976019185
840 3.0562347188
1622 3.2467532468
1854 3.3156498674
2066 3.3875338753
5000 1.4723203769
