evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
404 2.3629489603
443 2.5562372188
1398 2.5987525988
1610 2.7839643653
2955 3.1806615776
5100 0.9697439876
evaluations raw_y
1 0.7846829881
2 1.0271158587
3 1.5451174289
8 1.8796992481
81 2.1367521368
421 2.4366471735
1096 2.6881720430
1531 3.2467532468
5100 1.7730496454
evaluations raw_y
1 1.1230907457
11 1.7531556802
116 1.7730496454
138 2.5562372188
1414 3.6231884058
5100 1.5151515152
evaluations raw_y
1 0.5699954400
2 1.2100677638
4 1.5762925599
15 1.5923566879
28 1.8142235123
124 1.9260400616
126 2.1968365554
469 2.7839643653
1065 2.8344671202
5100 1.1649580615
evaluations raw_y
1 1.0917030568
3 1.2100677638
8 1.2690355330
13 1.6425755585
30 1.7337031900
39 1.7531556802
51 1.9500780031
156 2.5987525988
1370 2.6427061311
2859 2.9976019185
5100 1.5923566879
evaluations raw_y
1 1.3812154696
3 1.5151515152
4 1.5923566879
31 1.6778523490
55 1.7146776406
78 1.7934002869
120 1.8142235123
171 1.8573551263
175 2.1968365554
253 2.3629489603
745 2.7352297593
1285 3.1806615776
3350 3.4626038781
5100 1.1825922422
evaluations raw_y
1 0.9637625289
2 0.9944311854
4 1.1737089202
6 1.9025875190
184 2.3277467412
977 2.3992322457
1124 2.5150905433
1810 2.5987525988
2151 2.6881720430
4188 2.9976019185
4383 3.6231884058
5100 2.4752475248
evaluations raw_y
1 0.5617977528
2 0.7886435331
3 1.1916110582
4 1.2588116818
6 1.4863258026
10 1.5006002401
17 2.1079258010
75 2.2281639929
333 2.9411764706
2322 3.3156498674
5100 0.8973438622
evaluations raw_y
1 1.6087516088
5 2.0525451560
150 2.1079258010
253 2.1367521368
314 2.3277467412
343 2.3629489603
1049 2.9411764706
2794 3.0562347188
5100 1.2388503469
evaluations raw_y
1 1.0548523207
3 1.0993843448
5 1.3340448239
7 1.4585764294
12 1.8142235123
71 2.0259319287
261 2.0525451560
270 2.2603978300
779 2.3277467412
854 2.4752475248
1347 2.6427061311
3389 2.6881720430
4237 2.9411764706
5100 1.1071744907
