evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
83 1.7730496454
104 2.1079258010
171 2.2603978300
276 2.3992322457
310 2.8344671202
337 3.1172069825
700 3.1806615776
1149 3.9936102236
5000 2.3992322457
evaluations raw_y
1 0.8175277959
2 0.8305647841
3 0.8626639061
4 1.5451174289
15 1.8573551263
19 2.1079258010
43 2.4366471735
356 2.8344671202
358 2.9976019185
905 3.2467532468
1131 3.3156498674
1411 3.7993920973
2087 4.0983606557
5000 3.3875338753
evaluations raw_y
1 1.0477787091
6 1.2195121951
7 1.8355359765
89 1.8796992481
146 2.0259319287
181 2.0525451560
275 2.1079258010
318 2.1663778163
343 2.2281639929
472 2.6881720430
559 2.9411764706
594 2.9976019185
683 3.1172069825
740 3.3156498674
1617 3.7993920973
5000 1.9025875190
evaluations raw_y
1 1.2100677638
3 1.5299877601
7 1.5451174289
13 1.7337031900
22 1.8573551263
59 2.0798668885
146 2.2281639929
164 2.3992322457
196 2.4752475248
247 2.6427061311
428 2.7839643653
474 3.0562347188
499 3.5410764873
793 4.2087542088
5000 4.2087542088
evaluations raw_y
1 1.4723203769
5 1.5923566879
6 1.8355359765
48 1.9025875190
61 2.0525451560
173 2.1367521368
210 2.1968365554
252 2.3277467412
314 2.6881720430
571 2.8868360277
691 2.9411764706
698 3.2467532468
841 3.3156498674
908 3.3875338753
941 3.7091988131
1186 3.9936102236
1857 4.0983606557
2145 5.1867219917
5000 1.3935340022
evaluations raw_y
1 1.6960651289
19 1.7934002869
51 1.8355359765
52 2.0259319287
108 2.7839643653
297 2.9411764706
313 3.1172069825
321 3.1806615776
498 3.2467532468
655 3.3156498674
704 3.4626038781
718 4.3252595156
1254 4.4483985765
5000 1.8573551263
evaluations raw_y
1 1.1478420569
4 1.2487512488
5 2.0259319287
32 2.2603978300
139 2.8868360277
694 2.9976019185
839 3.1806615776
1073 3.2467532468
1165 3.6231884058
1632 4.2087542088
5000 3.0562347188
evaluations raw_y
1 1.2100677638
3 1.3572204126
18 1.4863258026
32 1.7730496454
47 2.1367521368
59 2.2281639929
197 2.3992322457
266 2.4366471735
283 2.7352297593
372 2.9976019185
541 3.2467532468
646 3.3875338753
786 3.6231884058
1238 3.7993920973
5000 3.2467532468
evaluations raw_y
1 0.6879471657
2 1.2007684918
4 1.4060742407
6 1.5299877601
31 1.6254876463
33 1.6960651289
34 1.7730496454
47 2.0000000000
161 2.2281639929
174 2.2603978300
287 2.5150905433
303 2.5987525988
525 2.6427061311
588 2.7352297593
1387 2.7839643653
1408 2.9411764706
1960 3.0562347188
2022 3.1806615776
2044 3.2467532468
2058 3.6231884058
2281 3.8940809969
5000 1.1737089202
evaluations raw_y
1 0.3175006350
2 1.4188422247
4 1.6600265604
17 1.8796992481
84 1.9025875190
115 2.1663778163
172 2.3277467412
274 2.5562372188
537 2.5987525988
545 2.8344671202
610 2.9411764706
1234 3.3875338753
1314 3.6231884058
1457 3.7993920973
1712 3.8940809969
2721 4.0983606557
5000 4.0983606557
